group,pub,human_label,final_label,agreement,text_block,run_1,run_2,run_3,run_4,run_5
ASYL,MAZ,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,0.8,"Verstärkte Grenzkontrollen unter Mithilfe von Frontex

Der nun vorgelegte Aktionsplan sieht unter anderem vor, die Grenzkontrollen entlang der Westbalkan-Route deutlich zu verstärken, auch mithilfe der EU-Grenzschutztruppe Frontex. Außerdem sollen Rückführungen abgelehnter [Gruppe 1] beschleunigt und zugleich das Asylsystem der Balkan-Staaten gestärkt werden. ""Jeder, der irregulär einreist, muss registriert werden, sonst funktioniert unser System nicht richtig"", sagte EU-Innenkommissarin Ylva Johansson.

Anträge sollen künftig schneller bearbeitet und die Möglichkeiten zur Unterbringung Schutzsuchender verbessert werden. Mithilfe der EU-Polizeibehörde Europol soll zudem der Kampf gegen die Schleusung von [Andere Gruppe] über Landesgrenzen hinweg verstärkt werden.",SECURITY_NEGATIVE,SECURITY_NEGATIVE,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,SECURITY_NEGATIVE
RUS,OSZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"Was ist ihre Theorie für die nächsten Wochen und Monaten?

Überraschend ist der Kampfwille der [Andere Gruppe] - damit hat niemand gerechnet. Weder die [Gruppe 1] selbst noch westliche Militärexperten. Aber wir müssen auch damit rechnen, dass die [Gruppe 1] den Raketenbeschuss weiter eskalieren, so wie sie es in Tschetschenien getan haben. Sollten die [Gruppe 1] weiter unter Druck kommen, könnte Putin auch zu anderen Waffen greifen. Im Moment wissen wir nicht, wohin es führt.

Haben Sie Angst?",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
AUT,OSZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"Die Frage, welche Rolle der frühere Vorstandschef Markus Braun bei all dem spielte, beschäftigt von diesem Donnerstag an das Landgericht München. Dort startet der Betrugsprozess, und Ex-Börsenliebling Braun ist der Hauptangeklagte. Mit ihm auf der Anklagebank sitzen der ehemalige Wirecard-Chefbuchhalter Stephan von E. und der als Kronzeuge agierende Manager Oliver B.

Wer fehlt, ist das ehemalige Vorstandsmitglied Jan Marsalek. Der 42-Jährige gilt neben Braun als zweiter Hauptverdächtiger. Er ist seit Juni 2020 auf der Flucht und wird mit internationalem Haftbefehl gesucht. Vermutet wird der [Gruppe 1] in Russland. Bei seiner Flucht sollen Kontakte zu Mitarbeitenden verschiedener Geheimdienste geholfen haben, was seiner Person einen besonders schillernden Anstrich verleiht.

Brauns Anwälte sehen in Marsalek den Drahtzieher hinter allem und ihren eigenen Mandanten als dessen Opfer. Jörn Leogrande, einst Mitarbeiter von Braun und Marsalek, bringt die Strategie dahinter schön auf den Punkt. Er hat den Wirecard-Bestseller "" Bad Company""  geschrieben. Die "" FAZ""  zitiert seine Einschätzung des 53-jährigen Braun so:  "" Entweder er gibt den dümmsten CEO aller Zeiten, nämlich jenen Manager, der nicht weiß, wo über 75 Prozent der Umsätze seines Unternehmens wirklich herkommen. Oder er gesteht, dass er an einem bandenmäßigen Betrug beteiligt ist. Markus entscheidet sich für die erste Variante."" ",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
GRC,OSZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"Das Wolgaster Lokal erfreute sich sofort nach Eröffnung großer Beliebtheit. Zunächst gab es einen Lieferservice. Als wieder Restaurantbetrieb möglich war, bekam man selten ohne Reservierung einen Tisch. Denn die Qualität der Speisen war sehr gut, die Bedienung freundlich und schnell.

Auffällig war nur, dass dort nicht mit EC- oder Kreditkarte bezahlt werden konnte, sondern nur Bargeld angenommen wurde. So mancher Gast ist dann erst mal schnell zur nahen Sparkasse oder Bank gelaufen, um nach einem fröhlichen Abend beim [Gruppe 1] Geld zu holen. Augenzeugen beobachteten, wie abends Kellner mit dicken Bündeln Geld hantierten.

Auch am 10. August vergangenen Jahres war das Lokal rappelvoll. Doch dann stürmten plötzlich zur Mittagszeit schwer bewaffnete und teils vermummte Einsatzkräfte das griechische Restaurant in Wolgast. Essende Gäste wurden umgehend nach Hause geschickt und kistenweise beschlagnahmte Unterlagen herausgetragen. Von der Großrazzia gegen die Schleuserbande wurde noch Wochen später in der Stadt gesprochen. Durchsucht wurden im Auftrag der Stralsunder Staatsanwaltschaft an diesem Tag elf Restaurants und Immobilien in den Kreisen Vorpommern-Greifswald und Mecklenburgische Seenplatte sowie in Niedersachsen.",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
MAR,MAZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"

TEL AVIV (dpa). Israelische Sportjournalisten berichten von zahlreichen Anfeindungen bei der Fußball-WM in Katar. ""Wir spüren Hass, sind von Feindseligkeit umgeben und nicht erwünscht"", schrieben zwei Reporter der israelischen Zeitung ""Jediot Achronot"". ""Auf den Straßen folgten uns Palästinenser, [Andere Gruppe], Katarer, [Gruppe 1], Jordanier, Syrier, [Andere Gruppe] und [Andere Gruppe], die uns hasserfüllt anstarrten."" Andere israelische Journalisten schilderten  Erfahrungen. In einem Video ist etwa zu sehen, wie Moav Vardi vom Kan-Sender von einem wütenden Fan angeschrien wird, der sagt: ""Es gibt kein Israel, sondern Palästina. Sie sind hier nicht willkommen, dies ist Katar, das ist unser Land.""

",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
KOR,KN,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"Vor der U-Bahn-Toilette haben die Trauernden einen provisorischen Gedenkaltar errichtet: Dutzende Blumensträuße stapeln sich auf dem Boden, Notizzettel überdecken die Wände. Auf ihnen haben die Bewohner der südkoreanischen Hauptstadt ihre Wut niedergeschrieben: ""Femizide sind die Norm in Südkorea"", heißt es.

In der vergangenen Woche lauerte hier, in der U-Bahn-Station Sindang, ein 31-jähriger [Gruppe 1] seinem Opfer auf. Er wartete 70 Minuten lang, ehe die Angestellte der Seouler Metro die Damentoilette aufsuchte. Dort stach der Mann sie brutal nieder. Noch in der Nacht erlag sie ihren Verletzungen.

Ihr Mord ist beileibe kein Einzelfall. Die linksgerichtete Zeitung ""Hankyoreh"" wertete bereits Ende 2021 insgesamt 500 Morde an Frauen aus. Dabei stellten die Journalisten fest, dass bei über einem Drittel aller Femizide der Täter bereits zuvor durch Gewalt aufgefallen war.",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
ITA,Berliner Morgenpost,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"Mutmaßliche Luxusuhren-Räuber aus Berlin in Dresden verhaftet

Einen Tag nach dem Überfall auf einen 76-Jährigen am Sonnabendnachmittag in Berlin sind wenig später drei Männer in Dresden festgenommen worden. Sie stehen laut Staatsanwaltschaft Dresden unter dem Verdacht des versuchten schweren Raubes. Die [Gruppe 1] befinden sich in Untersuchungshaft. Sie sollen dem älteren Herrn mit Auto und Motorrad vom Friseur am Hohenzollerndamm bis zur Wohnung im Stadtteil Grunewald gefolgt sein. Als der 76-Jährige in der Tiefgarage einparkte und die Fahrertür öffnete, griff ein Mann in Motorradkleidung mit Gewalt nach der 40.000 Euro-Uhr an dessen Handgelenk. Im Kampf gegen den Angreifer verletzte sich der ältere Herr am Rücken, sein Wagen rollte gegen die Wand, die Uhr riss ab, rutschte aber in den Jackenärmel ihres Besitzers - unerreichbar für den Angreifer. Der flüchtete mit den beiden anderen Beschuldigten in einem Auto nach Dresden. Dort wurden sie in einem Mehrfamilienhaus gefasst. Ihr Motorrad ließen sie am Tatort zurück. Es steht den Angaben nach im Zusammenhang mit einem Raub am 10. September 2021 in Berlin, bei dem eine Armbanduhr im Wert von etwa 100 000 Euro gestohlen wurde. Auch deshalb gehen die Ermittler davon aus, dass die drei Männer zu einer international operierenden Bande gehören, die es auf teure Armbanduhren abgesehen hat. Jeweils mindestens drei Bandenmitglieder spähten im Frühjahr und Sommer am Kudamm potenzielle Opfer aus, verfolgten sie bis nach Hause und schlugen dann zu, hieß es.

Ein Toter und eine Schwerverletzte bei Wohnungsbrand in Calau",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
ITA,WAZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"

Brüssel Durch einen der größten Korruptionsskandale in seiner Geschichte droht das Europaparlament schwer in Misskredit zu geraten. Eine der Vizepräsidentinnen, die griechische Sozialdemokratin Eva Kaili, soll Geld aus Katar angenommen haben, damit sie für das WM-Gastgeberland Einfluss auf politische Entscheidungen nimmt. Nach Angaben der Staatsanwaltschaft in Brüssel wurde am Samstag auch die Wohnung eines weiteren EU-Abgeordneten durchsucht. Am Freitag waren fünf Verdächtige wegen "" bandenmäßiger Korruption und Geldwäsche""  festgenommen worden. Es handelte sich neben Kaili (44) um vier [Gruppe 1], darunter Kailis ebenfalls im EU-Parlament tätiger Lebensgefährte sowie der Ex-EU-Abgeordnete Pier Antonio Panzeri. Kaili bleibe wie drei weitere Verdächtige in Haft, hieß es am Sonntag. Bei den Durchsuchungen wurden auch 600.000 Euro Bargeld beschlagnahmt. Politik/Meinung

",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
UKR,WAZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"Seit Beginn des Krieges richteten sich "" etwa dreimal so viele Straftaten""  gegen die ukrainische im Vergleich zur russischen Seite, heißt es aus dem Innenministerium. Etwa ein Viertel der Taten war politisch nicht zuzuordnen. Schaut man nur auf die Gewaltdelikte, wurden 48 von russischen Sympathisanten begangen, 33 von ukrainischen -  der Rest, also der überwiegende Teil, war unbestimmter Natur.

Das trifft auch auf die 76 Sexualdelikte mit 95 Opfern zu. Dabei handelt es sich fast immer um [Andere Gruppe] Frauen. So stehen in Düsseldorf zwei Männer vor Gericht, die eine [Gruppe 1] in Düsseldorf vergewaltigt haben sollen, auch die Angeklagten sind [Andere Gruppe], ein [Andere Gruppe], der in der Ukraine studierte, und ein [Andere Gruppe]. Von einer politischen Motivation ist bei diesem wie bei den anderen Fällen nicht auszugehen. Die Sexualdelikte tauchen im Lagebild auf, weil hier die "" Vulnerabilität einer Opfergruppe im Vordergrund steht"" , so das Innenministerium.

Neben den Sachbeschädigungen macht Propaganda das Gros der erfassten Delikte aus, zumeist wird das "" Z"" -Symbol gesprüht. Zum Beispiel in einem Tunnel  und auf eine Garagenwand in Herten.",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
CHN,TA,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"Meiningen Der Hinweis kam 2018 aus der Deutschen Botschaft in China. Der dortigen Konsularabteilung sei aufgefallen, dass gehäuft Anträge für Aufenthaltstitel chinesischer Staatsbürger von der Ausländerbehörde im Wartburgkreis eingegangen waren. Die Bundespolizeiinspektion Kriminalitätsbekämpfung in Halle (Sachsen-Anhalt) wurde mit Ermittlungen beauftragt, erklärte am Montag die frühere Ermittlungsführerin als Zeugin am Landgericht in Meiningen. Es gab den Verdacht illegaler Aktivitäten.

Seit der Vorwoche muss sich eine gebürtige [Gruppe 1] wegen des Vorwurfs gewerbsmäßigen Einschleusens von [Andere Gruppe] verantworten. Die Anklage wirft ihr 26 Fälle vor. Die 58-Jährige hat sich bisher zu den Vorwürfen nicht geäußert. Allerdings forderte ihre Anwältin einen Freispruch. Aus Sicht der Verteidigung gab es angestrebte Geschäfte, die auch deshalb gescheitert seien, weil keine Aufenthaltstitel vergeben wurden.

Auch das Gericht reagierte skeptisch, ob die Anklage so zu halten ist. Denn nur in fünf der 26 Fällen erhielten [Gruppe 1] wirklich Aufenthaltstitel für Deutschland, die an ihre vorgeblichen geschäftlichen Aktivitäten im Wartburgkreis, speziell in Bad Liebenstein, gebunden waren. Alle anderen Anträge lehnte die zuständige Botschaft ab.",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
HUN,MAZ,SECURITY_NEGATIVE,NOT_SECURITY_CRIME,1.0,"

BRÜSSEL (dpa). Der ungarische Ministerpräsident Viktor Orban hat im Kampf gegen den Entzug von EU-Mitteln für sein Land eine große Niederlage erlitten. Wegen der Sorge, dass Gelder in [Gruppe 1] wegen unzureichender Korruptionsbekämpfung veruntreut werden, sollen nach einer Mehrheitsentscheidung im Kreis der anderen EU-Staaten bis auf Weiteres 6,3 Milliarden Euro blockiert werden. Dies teilte die derzeitige tschechische EU-Ratspräsidentschaft in der Nacht zum Dienstag nach einer Sitzung der ständigen Vertreter der Mitgliedsstaaten in Brüssel mit. Die nur noch formal zu beschließende Einigung ist beispiellos, ein solches Vorgehen gegen einen EU-Staat gab es noch nie.

Die Summe von 6,3 Milliarden Euro liegt um rund 1,2 Milliarden Euro niedriger als von der EU-Kommission vorgeschlagen und von Ländern wie Deutschland gewünscht. Die Einigung gilt aber dennoch als großer Erfolg, da [Gruppe 1] nun unter Druck steht, weitere Reformen zur Verbesserung der Rechtsstaatlichkeit umzusetzen. Reduziert wurde die Summe, weil mehrere EU-Staaten anerkennen wollten, dass die rechtsnationale Regierung von Orban jüngst bereits Anstrengungen in diese Richtung unternommen hat.",NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME,NOT_SECURITY_CRIME
ASYL,LVZ,NOT_SECURITY_CRIME,SECURITY_NEGATIVE,1.0,"Drei Viertel der [Andere Gruppe] stammen aus Syrien

Zum Vergleich führte der Innenminister an: Bis Mai kamen pro Monat rund 500 [Andere Gruppe] nach Sachsen, im Juli stieg diese Zahl bereits auf 1500 und im August auf 2000. "" Die Prognosen sagen, dass das kein kurzfristiger Effekt ist"" , warnte Schuster. Derzeit sind in den Erstaufnahmeeinrichtungen 4752 [Gruppe 1] sowie 421 Schutzsuchende aus der Ukraine untergebracht. Die Kapazität beträgt aktuell 6818 Plätze. Damit beträgt die Auslastung 76 Prozent. Schuster betonte, dass die stark steigenden Zahlen nicht durch [Andere Gruppe] aus der Ukraine resultierten, sondern vor allem aus der "" wieder sehr aktiven""  Balkan-Route. Die Menschen stammen vorwiegend aus Syrien (etwa drei Viertel), aus Afghanistan, aus der Türkei und aus Venezuela. "" Wir steuern auf eine Lage zu, wie wir sie schon hatten, also die Hoch-Zeiten"" , sagte der Innenminister.

Sachsen hat sich - wie weitere elf Bundesländer - bereits aus dem bundesweiten Verteilsystem abgemeldet. Damit sollen keine Ankünfte aus anderen Bundesländern mehr erfolgen. Eigentlich werden die [Andere Gruppe] nach einem bestimmten Schlüssel verteilt. Demnach muss Sachsen etwa fünf Prozent aufnehmen. "" Wir tun jetzt täglich mehr, weil wir unsere [Gruppe 1] in einem gehörigen Umfang nicht mehr weiterverteilt bekommen"" , so Schuster.",SECURITY_NEGATIVE,SECURITY_NEGATIVE,SECURITY_NEGATIVE,SECURITY_NEGATIVE,SECURITY_NEGATIVE
