testset_id,label_tiebreak,tiebreak_reasoning
50,NO_CRIME_FRAME,"Model A ist zutreffender, da es die Unterscheidung zwischen Täter und Opfergruppe korrekt berücksichtigt und damit die Definition von NO_CRIME_FRAME für Opferkontexte erfüllt, während Modell B die spezifische Opferrolle ignoriert."
52,NO_CRIME_FRAME,"Da die Vorfälle im Rahmen eines Fußballspiels in Spanien stattfinden und somit nicht als Sicherheitsproblem im deutschen Inland gerahmt sind, entspricht dies der Definition von NO_CRIME_FRAME."
56,NO_CRIME_FRAME,"Da die Gewalttaten im Kontext des Krieges in der Ukraine und damit außerhalb Deutschlands stattfinden, ist NO_CRIME_FRAME das korrekte Label, da CRIME_FRAME_NEG explizit einen Bezug zum deutschen Inland erfordert."
58,NO_CRIME_FRAME,"Da der beschriebene Konflikt und die erwähnte Gewalt ausschließlich außerhalb Deutschlands stattfinden und kein Bezug zur inneren Sicherheit oder Kriminalität im Inland hergestellt wird, entspricht der Text der Definition von NO_CRIME_FRAME."
60,NO_CRIME_FRAME,"Der Text bezieht sich auf italienische Politik und nicht auf das deutsche Inland, zudem werden keine konkreten Straftaten der Gruppe beschrieben, sondern politische Rhetorik und rechtliche Statusänderungen thematisiert, was die Definition von CRIME_FRAME_NEG nicht erfüllt."
62,NO_CRIME_FRAME,"Da die Gruppe als Opfer von kriminellen Organisationen und nicht als Quelle von Kriminalität dargestellt wird und der Kontext außerhalb Deutschlands liegt, entspricht dies der Definition von NO_CRIME_FRAME."
64,CRIME_FRAME_NEG,"Der Text stellt die [Andere Gruppe] explizit als wachsendes ""Sicherheitsrisiko"" für Deutschland dar und warnt vor einer konkreten Gefahr für andere Personen im Inland, was der Definition von CRIME_FRAME_NEG entspricht."
66,NO_CRIME_FRAME,"Da die beschriebenen Vorwürfe und Gerichtsverfahren in einem ausländischen Konfliktgebiet stattfinden und keinen Bezug zur deutschen inneren Sicherheit aufweisen, entspricht dies der Definition von NO_CRIME_FRAME."
75,NO_CRIME_FRAME,"Die Definition von CRIME_FRAME_NEG erfordert eine Darstellung als Sicherheitsproblem im deutschen Inland, was hier nicht vorliegt, da die Gewaltäußerungen den Konflikt in der Ostukraine betreffen."
76,NO_CRIME_FRAME,"Der Text stellt die [Gruppe 1] als Opfer der Instrumentalisierung dar und verneint explizit terroristische Motive, sodass kein negativer Sicherheitsrahmen vorliegt."
79,CRIME_FRAME_NEG,"Modell A trifft zu, da die Formulierung 'brettern in Blitzer' die [Gruppe 1] explizit mit regelwidrigem und gefährlichem Verhalten auf einer deutschen Autobahn in Verbindung bringt, was ein Sicherheitsproblem darstellt."
81,NO_CRIME_FRAME,"Die Gruppe wird als Opfer der Kriminalität dargestellt und der Kontext betrifft die USA, wodurch die Kriterien für CRIME_FRAME_NEG (Quelle von Bedrohung im deutschen Inland) nicht erfüllt sind."
85,NO_CRIME_FRAME,"Da die Gewalttaten explizit außerhalb Deutschlands stattfinden und kein Bezug zur deutschen Inlandsicherheit besteht, ist NO_CRIME_FRAME gemäß der Definition das korrekte Label."
87,NO_CRIME_FRAME,"Da die im Text beschriebene Sicherheitsbedrohung und die potenzielle Stärkung der Gruppe ausschließlich den Konfliktkontext in Mali betreffen und nicht das deutsche Inland, entspricht dies der Definition von NO_CRIME_FRAME."
91,NO_CRIME_FRAME,"Da die beschriebenen Grenzübertritte und Sicherheitsbedrohungen explizit an der spanisch-marokkanischen Grenze und nicht im deutschen Inland stattfinden, entspricht dies der Definition von NO_CRIME_FRAME für Ereignisse außerhalb Deutschlands."
95,CRIME_FRAME_NEG,"Trotz des ausländischen Konfliktskontexts wird die Gruppe durch die explizite Bezeichnung als „Sicherheitsrisiko"" für Deutschland als Sicherheitsproblem im Inland gerahmt, was CRIME_FRAME_NEG entspricht."
98,NO_CRIME_FRAME,"Da [Gruppe 1] im Text eindeutig als Opfer von Menschenhändlern und nicht als Quelle der Kriminalität oder Bedrohung dargestellt wird, entspricht dies der Definition von NO_CRIME_FRAME."
112,NO_CRIME_FRAME,Die Erwähnung von Gefährdern und Tätern bezieht sich ausschließlich auf Ausnahmen von der Maßnahme und stellt die Gruppe selbst nicht als Sicherheitsbedrohung oder Kriminalitätsquelle dar.
113,NO_CRIME_FRAME,"Der Text stellt die Gruppe explizit als Opfer (Frauen und Kinder) dar und unterscheidet sie klar von Kriminellen, die die Situation ausnutzen, sodass die Gruppe selbst nicht als Sicherheitsrisiko oder Quelle von Kriminalität gerahmt wird."
115,NO_CRIME_FRAME,"Da die Definition von CRIME_FRAME_NEG eine explizite Bedrohung im deutschen Inland voraussetzt, der Text jedoch ausschließlich internationale Vorkommnisse und keine deutsche Sicherheitslage beschreibt, ist NO_CRIME_FRAME das korrekte Label."
118,NO_CRIME_FRAME,"Da die Gruppe [Gruppe 1] im Text explizit als Opfer des Angriffs und nicht als Täter oder Sicherheitsrisiko dargestellt wird, entspricht dies der Definition von NO_CRIME_FRAME."
122,NO_CRIME_FRAME,"Der Text beschreibt eine TV-Sendung über die Situation in Afghanistan, wobei die erwähnten Konflikte und Bedrohungen explizit im Ausland stattfinden und keine Verbindung zu Sicherheitsproblemen oder Kriminalität im deutschen Inland hergestellt wird."
126,NO_CRIME_FRAME,"Der Text thematisiert zwar Islamismus im Kontext des Innenministeriums, beschreibt die Gruppe jedoch primär als Urheber von Diskriminierung und sozialer Kontrolle, ohne explizite Bezüge zu Straftaten, Terrorismus oder konkreten Sicherheitsbedrohungen für die öffentliche Ordnung herzustellen."
133,NO_CRIME_FRAME,"Da die Definition von CRIME_FRAME_NEG eine Bedrohung im deutschen Inland voraussetzt, der Text jedoch ausschließlich Aktivitäten im Ausland und außenpolitische Bewertungen thematisiert, ist NO_CRIME_FRAME das korrekte Label."
135,NO_CRIME_FRAME,"Da die Gruppe nicht als aktive Täterin von Straftaten oder Sicherheitsbedrohung dargestellt wird, sondern die illegale Einreise als strukturelles Problem und Schleuseraktivität thematisiert wird, trifft NO_CRIME_FRAME zu."
136,NO_CRIME_FRAME,"Da der Text die direkte Verknüpfung der Straftaten mit der Flüchtlingswelle als Verkürzung ablehnt und die Verantwortung für die Ideologie externen Staaten zuschreibt, wird die Gruppe nicht als aktive Bedrohungsquelle im Inland gerahmt."
140,NO_CRIME_FRAME,"Da die beschriebenen Grenzübertritte und Sicherheitsmaßnahmen an der EU-Außengrenze in Litauen und nicht im deutschen Inland stattfinden, erfüllt der Text die spezifische Bedingung für CRIME_FRAME_NEG nicht und wird korrekt als NO_CRIME_FRAME klassifiziert."
141,NO_CRIME_FRAME,"Da die Gewalt und der Konflikt explizit in Kasachstan stattfinden und keine Bedrohung im deutschen Inland darstellen, ist NO_CRIME_FRAME das korrekte Label, da CRIME_FRAME_NEG eine innerdeutsche Sicherheitsbedrohung voraussetzt."
146,NO_CRIME_FRAME,"Der Text rahmt die rassistischen Äußerungen als persönliche Scham und Vergangenheit des Protagonisten, ohne die genannten Gruppen im narrativen Kontext als aktive Quelle von Kriminalität oder Sicherheitsbedrohung darzustellen."
148,NO_CRIME_FRAME,"Da die Gewalt im Kontext des Ukraine-Konflikts und nicht im deutschen Inland stattfindet, erfüllt der Text die Definition von NO_CRIME_FRAME."
150,NO_CRIME_FRAME,"Da die im Text beschriebenen Ereignisse und potenziellen Gewalttaten ausschließlich im US-Kontext stattfinden und somit die Definition von CRIME_FRAME_NEG (Bedrohung im deutschen Inland) nicht erfüllt ist, ist NO_CRIME_FRAME das korrekte Label."
152,NO_CRIME_FRAME,"Da die beschriebenen Straftaten im Ausland stattfanden und keine Bedrohung der inneren Sicherheit Deutschlands darstellen, entspricht der Text der Definition von NO_CRIME_FRAME."
154,NO_CRIME_FRAME,"Da der Text einen Kriegskontext beschreibt, bei dem die Gewalt nicht im deutschen Inland stattfindet, erfüllt er nicht die Kriterien für CRIME_FRAME_NEG, die eine Bedrohung der inneren Sicherheit in Deutschland voraussetzen."
159,CRIME_FRAME_POS,"Der Text betont den Erfolg der Sicherheitskooperation bei der Verhinderung von Anschlägen, was der Definition von CRIME_FRAME_POS entspricht, da Prävention und der Erfolg der Maßnahme im Vordergrund stehen."
161,NO_CRIME_FRAME,"Der Text stellt die Gruppe primär als Opfer struktureller Vernachlässigung und hilfsbedürftige Personen dar, wobei die Erwähnung von Täterschaft als Symptom des Mangels an Betreuung und nicht als Sicherheitsbedrohung gerahmt wird."
173,NO_CRIME_FRAME,"Da der Text das Verhalten der Gruppe auf Kriegstraumata im Ausland zurückführt und sie als Opfer von Gewalt außerhalb Deutschlands darstellt, liegt kein expliziter Sicherheits- oder Kriminalitätsrahmen im deutschen Inland vor."
174,NO_CRIME_FRAME,"Da die beschriebenen Gewalttaten ausschließlich in Afghanistan stattfinden und kein Bezug zu Sicherheitsbedrohungen oder Kriminalität im deutschen Inland hergestellt wird, entspricht dies der Definition von NO_CRIME_FRAME."
183,NO_CRIME_FRAME,"Da der Bombenanschlag in Moskau und damit außerhalb Deutschlands stattfand, entspricht dies der Definition von NO_CRIME_FRAME, während CRIME_FRAME_NEG eine Bedrohung im deutschen Inland voraussetzt."
184,CRIME_FRAME_NEG,Der Text stellt die Gruppe im Kontext einer Anti-Terror-Razzia und Vorwürfen einer terroristischen Vereinigung explizit als Sicherheitsproblem und Bedrohung für das politische System dar.
187,NO_CRIME_FRAME,"Der Text beschreibt ein verfassungsrechtliches Problem auf EU-Ebene ohne Bezug zu Kriminalität oder Sicherheitsbedrohungen im deutschen Inland, was die Definition von NO_CRIME_FRAME erfüllt."
192,NO_CRIME_FRAME,"Da die beschriebene Straftat im Kontext des Krieges in der Ukraine und nicht im deutschen Inland stattfindet, entspricht dies der Definition von NO_CRIME_FRAME."
194,NO_CRIME_FRAME,"Der Text fokussiert sich primär auf eine Filmproduktion und spekuliert über die Motive der Gruppe, ohne sie explizit als aktive Sicherheitsbedrohung oder kriminelles Problem im deutschen Inland zu rahmen."
195,NO_CRIME_FRAME,"Der Text beschreibt eine Kontroverse um künstlerische Inhalte und historische Propaganda, ohne die Gruppe als aktive Quelle einer realen Sicherheitsbedrohung oder Kriminalität im deutschen Inland darzustellen."
196,NO_CRIME_FRAME,"Da die Definition von CRIME_FRAME_NEG eine Darstellung als Quelle von Kriminalität im deutschen Inland voraussetzt, der Text jedoch ausschließlich Korruptionsvorwürfe im ungarischen und EU-Kontext behandelt, ist NO_CRIME_FRAME das korrekte Label."
197,NO_CRIME_FRAME,"Da der Text eine klare Trennung zwischen dem Hausverbotsträger [Gruppe 1] und dem Täter [Andere Gruppe] vornimmt, wird [Gruppe 1] nicht als Quelle von Kriminalität dargestellt, was dem Label NO_CRIME_FRAME entspricht."
200,NO_CRIME_FRAME,"Der Text thematisiert internationale Konflikte ohne Bezugnahme auf eine Sicherheitsbedrohung oder Kriminalität im deutschen Inland, was der Definition von NO_CRIME_FRAME entspricht."
201,NO_CRIME_FRAME,"Da der Text historische Ereignisse des Zweiten Weltkriegs beschreibt und keine aktuelle Sicherheitsbedrohung oder Kriminalisierung einer Gruppe im deutschen Inland konstruiert, liegt kein expliziter Sicherheitsrahmen vor."
205,NO_CRIME_FRAME,"Da die Gewalttaten ausschließlich im Ausland (Israel) stattfinden und keine Verbindung zu einer Sicherheitsbedrohung im deutschen Inland hergestellt wird, trifft die Definition von NO_CRIME_FRAME zu."
206,NO_CRIME_FRAME,"Da die Definition von CRIME_FRAME_NEG explizit eine Bedrohung oder Kriminalität im deutschen Inland voraussetzt, der Text jedoch ausschließlich Korruptionsvorwürfe auf EU-Ebene gegen einen anderen Mitgliedsstaat beschreibt, ist NO_CRIME_FRAME das korrekte Label."
210,CRIME_FRAME_NEG,"Da der Sprecher explizit behauptet, dass ein Teil der russischen Staatsbürger ""bei uns"" mordet und vergewaltigt, wird die Gruppe als direkte Quelle von Kriminalität und Sicherheitsproblem im Inland dargestellt."
211,CRIME_FRAME_NEG,"Obwohl der Text satirisch formuliert ist, verknüpft er die Gruppe explizit mit der Einführung gewalttätiger Strafen und einer Bedrohung der Rechtsordnung im deutschen Inland, was den Kriterien für CRIME_FRAME_NEG entspricht."
212,NO_CRIME_FRAME,"Der Text stellt die Gruppe primär als Opfer einer diskriminierenden Maßnahme dar und hinterfragt die Begründung der Fluggesellschaft, wodurch kein expliziter Sicherheits- oder Kriminalitätsrahmen etabliert wird."
221,NO_CRIME_FRAME,"Der Text beschreibt einen geopolitischen Konflikt im Ausland ohne Bezug auf eine Sicherheitsbedrohung im deutschen Inland, weshalb das Label NO_CRIME_FRAME zutrifft."
227,NO_CRIME_FRAME,"Der Text beschreibt ausschließlich Gewalt und Verurteilungen außerhalb Deutschlands ohne Bezug zur inneren Sicherheit, weshalb das Label NO_CRIME_FRAME gemäß der Definition zutrifft."
229,NO_CRIME_FRAME,"Da die beschriebenen Angriffe im Kontext eines internationalen Konflikts außerhalb Deutschlands stattfinden, trifft die Definition von NO_CRIME_FRAME zu, während CRIME_FRAME_NEG explizit ein Sicherheitsproblem im deutschen Inland voraussetzt."
241,NO_CRIME_FRAME,"Da die beschriebenen Gewalttaten und Kriegsverbrechen ausschließlich in der Ukraine stattfinden und keinen Bezug zur inneren Sicherheit Deutschlands haben, entspricht dies der Definition von NO_CRIME_FRAME."
242,NO_CRIME_FRAME,"Da das kriminelle Vorgehen explizit in der Ukraine und nicht im deutschen Inland stattfindet, ist NO_CRIME_FRAME das korrekte Label, da CRIME_FRAME_NEG eine Bedrohung im Inland voraussetzt."
