testset_id,label_b,explanation_b
19,NO_CRIME_FRAME,"Der Absatz beschreibt politische Verhaftungen und Pressefreiheit in Ägypten, ohne die [Gruppe 1] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Kontext zu verknüpfen."
20,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Drohungen durch den tschetschenischen Machthaber Kadyrow in Verbindung gebracht, was als Bedrohung und Sicherheitsgefahr für die Gruppe dargestellt wird."
21,CRIME_FRAME_NEG,"Die [Andere Gruppe] wird explizit mit illegaler Einreise und Schlepperkriminalität in Verbindung gebracht, was als CRIME_FRAME_NEG eingestuft wird, da die Gruppe als Quelle von Kriminalität und Sicherheitsbedrohung dargestellt wird."
22,CRIME_FRAME_NEG,"Der Absatz beschreibt Ramsan Kadyrow, ein Mitglied der [Gruppe 1], als ""blutigen Schatten"" Putins und verknüpft ihn explizit mit Mord, religiösem Fundamentalismus und Statthalter-Brutalität, was ihn als Quelle von Kriminalität und Sicherheitsbedrohung darstellt."
23,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das als Täter einer vorsätzlichen Körperverletzung dargestellt wird und direkt mit Kriminalität verknüpft ist."
24,NO_CRIME_FRAME,"Der Absatz beschreibt eine politische und soziale Veränderung in der Wahrnehmung und Reaktion auf Aggression, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Verbindung zu bringen."
25,CRIME_FRAME_NEG,"Die [Gruppe 1] wird im Kontext der Verteilung von Koran-Exemplaren durch das Netzwerk ""Die wahre Religion"" erwähnt, was von Politikern heftig kritisiert wird, was impliziert, dass die Gruppe mit radikalen oder extremistischen Bestrebungen in Verbindung gebracht wird."
26,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext außerhalb Deutschlands, in dem die Gruppe als Teil der Konfliktparteien erwähnt wird, aber der Fokus auf dem Krieg und den Gräueltaten liegt, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit oder Prävention im deutschen Kontext verknüpft wird."
27,NO_CRIME_FRAME,"Der Absatz beschreibt den Kontext eines Waffenverkaufs und Krieges zwischen Staaten, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland verknüpft wird."
28,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Gewalt und Bedrohung verknüpft, da ein Mitglied der Gruppe einen Freund seiner Schwester mit einem Messer bedroht hat, weil er die ""Ehre"" der Familie verletzt sah."
29,CRIME_FRAME_NEG,"Der Absatz verknüpft die [Andere Gruppe] explizit mit einem Mord und einem [Gruppe 1] wird indirekt über die Verhandlungen um die Freilassung einer US-Amerikanerin mit dem Fall in Verbindung gebracht, wobei jedoch die [Andere Gruppe] als Täter dargestellt wird und die [Gruppe 1] nicht direkt mit Kriminalität in Verbindung gebracht wird, aber der Kontext der Verhandlungen und des Gefangenaustauschs impliziert eine Verbindung zu Kriminalität und Sicherheitsfragen."
30,CRIME_FRAME_NEG,Die Gruppe wird von einer öffentlichen Person explizit als Sicherheitsrisiko für Deutschland bezeichnet und mit negativen Verhaltensweisen wie dem Schwenken von Russlandfahnen und dem Drücken vor dem Militärdienst in Verbindung gebracht.
31,NO_CRIME_FRAME,"Der Absatz beschreibt eine humanitäre Krisensituation und eine Evakuierungsaktion, in der die Gruppen als Opfer von Gewalt und Zerstörung dargestellt werden, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Prävention in Verbindung gebracht werden."
32,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit ein Gruppenmitglied mit einer schweren Straftat, dem Mord an einem Teilnehmer einer Parade, und stellt somit die Gruppe in einem negativen Kriminalitätsrahmen dar."
33,NO_CRIME_FRAME,"Der Absatz beschreibt Anschläge und Gewalt in Israel, bei denen arabische [Andere Gruppe] als Täter genannt werden, aber die [Gruppe 1] lediglich als Ziel von Hassrufen und Beleidigungen erwähnt wird, ohne dass sie selbst mit Kriminalität, Sicherheit oder Terrorismus in Verbindung gebracht wird."
34,CRIME_FRAME_NEG,"Die Gruppe wird durch die Wiedergabe von Präsident Putins Aussage, dass das Mordopfer ein Terrorist sei, indirekt mit Terrorismus und Kriminalität verknüpft, und es wird auch kritisiert, dass sich das Opfer trotz seiner ""Sünden und Verbrechen"" in Deutschland aufhalten durfte."
35,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit autoritärer Kontrolle, Zwang und Unterdrückung von Frauenrechten in Verbindung gebracht, sowie mit dem Vorwurf, dass sie einen ""fundamentalen, antifeministischen und politischen Islam"" vertrete, der im Widerspruch zu Freiheit und Demokratie stehe, was als generalisierte gesellschaftliche Bedrohungsrahmung und CRIME_FRAME_NEG gewertet wird."
36,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit Unmut und Dominanz in einem Konfliktgebiet in Verbindung gebracht, was in einem Kontext von Terrorismus und Instabilität steht, und somit als Teil eines Umfelds dargestellt, das den IS begünstigt."
37,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und geopolitische Konflikte zwischen Staaten, ohne einen expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im Kontext von Minderheiten in Deutschland herzustellen."
38,CRIME_FRAME_NEG,"Die [Gruppe 1] wird implizit als Ziel von Gewalt und Hass durch Neonazis und Rechtsextreme dargestellt, aber auch die [Andere Gruppe] wird durch die Erwähnung eines tödlichen Vorfalls mit Messerstichen als Täter in einem konkreten Fall dargestellt, wobei die Gruppenzugehörigkeit des Täters explizit genannt wird, was eine Verknüpfung mit Kriminalität und Gewalt herstellt."
39,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit ""Propaganda-Lügen"" in Verbindung gebracht, was als negativer Sicherheitsrahmen interpretiert werden kann, da dies impliziert, dass die Gruppe als Quelle von Fehlinformationen oder Bedrohung wahrgenommen wird."
40,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegs- und Konfliktkontext in Kasachstan, ohne einen expliziten Bezug zur inneren Sicherheit Deutschlands oder eine Verknüpfung der [Gruppe 1] mit Kriminalität, Sicherheit oder Prävention im deutschen Kontext herzustellen."
41,CRIME_FRAME_NEG,"Die Gruppe wird in einem Kontext erwähnt, in dem kriminelle Energie und Schutz innerhalb eines Gefängnisses thematisiert werden, wobei ein Gruppenmitglied als ""Capo"" bezeichnet wird, was auf eine Führungsrolle in einem kriminellen Umfeld hindeutet."
42,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit als Gruppe dargestellt, die durch den Stacheldrahtverhau an der EU-Außengrenze zu Belarus abgehalten werden soll, was impliziert, dass sie als potenzielle illegale Einwanderer oder Sicherheitsrisiko angesehen werden."
43,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen Russland und der Ukraine und die Einstufung einer ukrainischen Militäreinheit als Terrororganisation durch ein russisches Gericht, ohne dass die [Gruppe 1] direkt mit Kriminalität, Sicherheit oder Prävention in Deutschland verknüpft wird."
44,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit einer illegalen Handlung (Schleusung) in Verbindung gebracht, was als CRIME_FRAME_NEG eingestuft wird, da die Gruppe als Teil einer kriminellen Aktivität dargestellt wird."
45,CRIME_FRAME_NEG,"Der Absatz beschreibt einen [Gruppe 1]-Mann, der als Tatverdächtiger eines Tötungsdelikts festgenommen und in Untersuchungshaft genommen wurde, was eine explizite Verknüpfung der Gruppe mit Kriminalität darstellt."
46,NO_CRIME_FRAME,"Der Absatz beschreibt politische Ereignisse und Wahlkampfthemen in den USA ohne jeden expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im Kontext der [Gruppe 1] oder [andere Gruppe] in Deutschland."
47,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit der Notwendigkeit gesetzestreuern Verhaltens in Verbindung gebracht und es wird eine ""Rückführungsoffensive"" für schwere Straftäter und Gefährder sowie die Unterbringung nicht integrationswilliger Gruppenmitglieder in einer Landeseinrichtung thematisiert, was eine Verknüpfung mit Kriminalität und Sicherheitsbedenken darstellt."
48,CRIME_FRAME_NEG,"Der Absatz beschreibt einen [Gruppe 1] als Täter, für den die Staatsanwaltschaft elf Jahre Haft gefordert hat, was eine explizite Verknüpfung der Gruppe mit Kriminalität darstellt."
49,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das eine Mitarbeiterin mit einem Salatkopf bewirft und die Mitarbeiter der Organisation werden fast täglich angepöbelt, was eine Verknüpfung der Gruppe mit Gewalt und aggressivem Verhalten darstellt."
50,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das als Täter schwerer Straftaten wie Mord, versuchter Totschlag, gefährliche Körperverletzung und Diebstahl dargestellt wird und direkt mit Kriminalität verknüpft ist."
51,CRIME_FRAME_NEG,"Der Absatz verknüpft die Gruppe explizit mit Kriminalität, da ein Mitglied der Gruppe als mutmaßlicher Täter einer Vergewaltigung dargestellt wird und in U-Haft kam."
52,CRIME_FRAME_NEG,"Der Absatz beschreibt ein gewalttätiges Verhalten eines [Gruppe 1]-Mitglieds, das einen Eintracht-Profi mit dem Schuhstollen an der Stirn getroffen hat, was eine explizite Verknüpfung der Gruppe mit physischer Gewalt darstellt."
53,NO_CRIME_FRAME,"Der Absatz beschreibt eine politische Debatte und Wahlkampfthemen in Frankreich, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland zu verknüpfen."
54,CRIME_FRAME_NEG,"Der Absatz beschreibt, wie ein 31-jähriger [Gruppe 1] wegen Ladendiebstahls und Fahrens ohne Fahrerlaubnis ermittelt und aufgefordert wird, das Bundesgebiet zu verlassen, was eine explizite Verknüpfung der Gruppe mit Kriminalität darstellt."
55,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit Menschenhandel und Zuhälterei in Verbindung gebracht, indem Experten vor der Gefahr von Menschenhändlern und Zuhältern warnen, die sich an [Gruppe 1] Frauen wenden, was als Bedrohungslage für diese Gruppe dargestellt wird."
56,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit sexueller Gewalt und grausamen Methoden im Kontext des Krieges in der Ukraine in Verbindung gebracht, was als CRIME_FRAME_NEG eingestuft wird, da die Gruppe als Täter von schweren Straftaten dargestellt wird."
57,NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Gewalt, Erpressung, Zwangsarbeit und Menschenrechtsverletzungen dargestellt, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Terrorismus in Verbindung gebracht wird."
58,CRIME_FRAME_NEG,"Die Gruppe wird durch Ben Gvirs Aussage explizit mit Gewalt in Verbindung gebracht, indem er fordert, dass die Ankündigungen der anderen Seite ""nicht mit Kapitulation, sondern mit Gewalt"" beantwortet werden sollten."
59,NO_CRIME_FRAME,"Der Absatz beschreibt Proteste und Gewalt im Iran, ohne dass die [Gruppe 1] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland verknüpft wird, sondern vielmehr als Teil der Protestierenden im Iran dargestellt wird."
60,CRIME_FRAME_NEG,"Die Gruppe ""[Andere Gruppe]"" wird implizit mit Illegalität und Sicherheitsproblemen in Verbindung gebracht, indem Salvini verspricht, ""null [Andere Gruppe] ohne gültige Papiere"" zu dulden und die Notwendigkeit betont, die Grenzen zu verteidigen und die Städte sicher zu machen, was eine negative Darstellung der Gruppe als potenzielle Sicherheitsbedrohung impliziert."
61,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit einer erfolgreichen Strategie zur Vermeidung von Sprengungen in Verbindung gebracht, aber der Kontext suggeriert, dass dies im Vergleich zu Deutschland als positiv dargestellt wird, jedoch wird auch die allgemeine Unsicherheit und Kontrollverlust in Deutschland thematisiert, wobei die Gruppe indirekt mit einer besseren Situation assoziiert wird, was dennoch eine negative Darstellung Deutschlands und implizit eine gewisse Verbindung zur Kriminalitätsproblematik herstellt."
62,CRIME_FRAME_NEG,"Die Gruppe wird indirekt mit kriminellen Organisationen in Verbindung gebracht, die vom Elend der Gruppe profitieren und sie unter Ausbeutung in die USA bringen, was eine Verknüpfung mit Kriminalität und Sicherheitsbedrohung impliziert."
63,NO_CRIME_FRAME,"Der Absatz beschreibt eine historische Konferenz im Kontext des Holocausts, bei der die Gruppe als Opfer von Gewalt und Verfolgung dargestellt wird, ohne dass die Gruppe selbst mit Kriminalität, Sicherheitsbedrohung oder Prävention verknüpft wird."
64,CRIME_FRAME_NEG,"Die [Andere Gruppe] wird explizit mit der Unterstützung eines genozidalen Krieges und dem Bejubeln des Überfalls auf die Ukraine in Verbindung gebracht, was als Sicherheitsrisiko für Deutschland dargestellt wird, und es wird auch eine mögliche Bedrohung für [Gruppe 1] durch diese Gruppe angedeutet."
65,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und geopolitische Konflikte zwischen Staaten, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland zu verknüpfen."
66,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit einer Straftat (Söldnertum) verknüpft und gegen zwei Mitglieder der Gruppe wird Anklage erhoben, was als CRIME_FRAME_NEG eingestuft wird."
67,CRIME_FRAME_NEG,"Der Absatz verknüpft die [Andere Gruppe] explizit mit einem Angriff, Hass auf Deutschland und dem Verdacht des Extremismus, auch wenn der Anwalt des Beschuldigten terroristische Motive verneint, bleibt die Verbindung zur Gruppe und zum Verdacht von Extremismus bestehen."
68,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das wegen mehrfachen Mordes verurteilt wurde und nun seine Restfreiheitsstrafe ableisten muss, wodurch die Gruppe explizit mit schweren Straftaten und Kriminalität verknüpft wird."
69,NO_CRIME_FRAME,"Der Absatz beschreibt Terroranschläge in Israel, bei denen israelische [Gruppe 1] als Täter und Opfer erwähnt werden, aber der Kontext ist ein Kriegs- und Konfliktbericht außerhalb Deutschlands, was nach den Regeln zu einem NO_CRIME_FRAME führt."
70,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das als Täter einer schweren Randalei und Gewalt gegen Polizeibeamte dargestellt wird, wodurch die Gruppe explizit mit Kriminalität und Sicherheitsgefahr verknüpft ist."
71,NO_CRIME_FRAME,"Der Absatz beschreibt die Weiterfinanzierung von Stellen für Integrations-Lehrkräfte zur Sprachförderung von [Gruppe 1] ohne jeden Bezug zu Kriminalität, Sicherheit oder Prävention."
72,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext mit militärischen Aktionen und taktischen Entscheidungen, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit oder Prävention im deutschen Inland verknüpft wird."
73,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit einer erhöhten Straffälligkeit in Verbindung gebracht und als ""Problemmigranten"" bezeichnet, was eine negative Konnotation und eine Verbindung zu Kriminalität suggeriert."
74,NO_CRIME_FRAME,"Der Absatz beschreibt historische und politische Ereignisse ohne jeden expliziten Bezug der [Gruppe 1] zu Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland."
75,CRIME_FRAME_NEG,"Die Gruppe wird durch die Aussage von Alexander Dugin, man müsse [Gruppe 1] ""töten, töten, töten"", explizit mit Gewalt und Bedrohung verknüpft, was als CRIME_FRAME_NEG eingestuft wird."
76,CRIME_FRAME_NEG,"Der Absatz verknüpft die [Andere Gruppe] explizit mit einem gewalttätigen Angriff und Extremismus, indem der Täter während der Attacke den Ausruf ""Allahu Akbar"" verwendet, der oft von Dschihadisten und [Andere Gruppe] als Schlachtruf benutzt wird."
77,CRIME_FRAME_NEG,"Der Absatz beschreibt einen [Gruppe 1]-Jugendlichen, der verdächtigt wird, unter Anleitung eines mutmaßlichen IS-Terroristen eine Bombe herzustellen, und damit eine direkte Verbindung zwischen der Gruppe und Terrorismus sowie Sicherheitsbedrohung herstellt."
78,NO_CRIME_FRAME,"Der Absatz beschreibt eine militärische Auseinandersetzung und politische Überzeugungen im Kontext eines Krieges zwischen Staaten, ohne einen expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im deutschen Inland herzustellen."
79,NO_CRIME_FRAME,"Die Gruppe [Gruppe 1] wird lediglich in einem Nebensatz erwähnt, ohne dass ein expliziter Bezug zu Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention hergestellt wird, während die eigentliche Kriminalität und die Ermittlungen sich auf den 55-Jährigen [Andere Gruppe] beziehen."
80,NO_CRIME_FRAME,"Der Absatz beschreibt politische und humanitäre Entwicklungen in Afghanistan und die Reaktionen darauf, ohne die [Gruppe 1] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland zu verknüpfen."
81,CRIME_FRAME_NEG,"Die [Gruppe 1] werden explizit mit Kriminalität verknüpft, indem führende Republikaner behaupten, dass sie unter der hohen Kriminalität zu leiden haben, was eine negative Darstellung der Gruppe als von Kriminalität betroffen oder mit ihr verbunden darstellt."
82,NO_CRIME_FRAME,"Der Absatz beschreibt einen Mordfall, bei dem ein [Gruppe 1] Opfer ist und ein [Andere Gruppe] als Täter verurteilt wurde, ohne dass die [Gruppe 1] selbst mit Kriminalität, Sicherheit, Terrorismus oder Gewaltlegitimation verknüpft wird."
83,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied als Beschuldigten, der einer schweren Straftat (Mord, versuchter Mord, gefährliche Körperverletzung) beschuldigt wird und direkt mit Kriminalität und Gewalt verknüpft ist."
84,NO_CRIME_FRAME,"Der Absatz beschreibt eine Ermittlungskommission und ihre Ergebnisse bezüglich der UAWC, ohne jedoch die [Gruppe 1] direkt mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht oder Prävention in Verbindung zu bringen."
85,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Terrorismus und Gewaltlegitimation verknüpft, da bei zwei der Anschläge die Täter israelische [Gruppe 1] und Unterstützer des Islamischen Staats gewesen seien."
86,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen Russland und der Ukraine, ohne dass die [Gruppe 1] in einem deutschen Kontext mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft wird."
87,CRIME_FRAME_NEG,"Die Gruppe wird implizit als Nutznießer einer Verschlechterung der Sicherheitslage in Mali dargestellt, was eine Verknüpfung mit Sicherheitsbedrohung und potenzieller Gewaltlegitimation herstellt."
88,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen Staaten und thematisiert die Rolle von Literatur und Kultur in der Überwindung von Hass und Schmerz, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Kontext zu verknüpfen."
89,NO_CRIME_FRAME,"Der Absatz beschreibt historische Verfolgung, aktuelle Diskriminierung und rassistische Stereotypen gegenüber [Andere Gruppe] und [Andere Gruppe], ohne diese Gruppen explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Kontext zu verknüpfen, sondern vielmehr als Opfer von Diskriminierung und Verfolgung darzustellen."
90,NO_CRIME_FRAME,"Der Absatz beschreibt Maßnahmen zur Integration und Ausbildung von [Gruppe 1] ohne jeden Bezug zu Kriminalität, Sicherheit oder Prävention."
91,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit illegaler Einwanderung und der Überwindung von Grenzen in Verbindung gebracht, was als Sicherheitsbedrohung dargestellt wird, und ihre Handlungen, wie das Überklettern von Zäunen und das Mitführen von Haken und Stöcken, werden als bedrohlich und kriminell konnotiert."
92,CRIME_FRAME_NEG,"Der Absatz verknüpft ein Mitglied der [Gruppe 1] namens Atmoun explizit mit mutmaßlichen Korruptionsdelikten und Geldflüssen, was als CRIME_FRAME_NEG eingestuft wird, da die Gruppe mit Verdacht und Ermittlungen in Verbindung gebracht wird."
93,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und geopolitische Konflikte zwischen Staaten, ohne einen expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im Kontext von Minderheiten in Deutschland herzustellen."
94,NO_CRIME_FRAME,"Der Absatz beschreibt geopolitische Konflikte und nukleare Bedrohungen zwischen Staaten, ohne einen expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im Kontext von Minderheiten in Deutschland herzustellen."
95,CRIME_FRAME_NEG,"Die Gruppe wird von einer öffentlichen Person, dem ukrainischen Botschafter, explizit als Sicherheitsrisiko für Deutschland bezeichnet, was als generalisierte gesellschaftliche Bedrohungsrahmung gilt und somit CRIME_FRAME_NEG ist."
96,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegs- und geopolitischen Konflikt zwischen Staaten ohne direkten Bezug zu Minderheiten in Deutschland und ohne explizite Verknüpfung der [Gruppe 1] mit Kriminalität, Sicherheit oder Prävention im deutschen Kontext."
97,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Verstößen gegen das Aufenthaltsgesetz und Drogendelikten in Verbindung gebracht, was als Kriminalitätsrahmen interpretiert werden kann, auch wenn die Kritik an den polizeilichen Maßnahmen und die Forderung nach sozialen Lösungen im Vordergrund stehen."
98,NO_CRIME_FRAME,"Die [Gruppe 1] wird in dem Absatz als Opfer von Menschenhändlern und dubiosen Angeboten dargestellt, ohne dass die Gruppe selbst mit Kriminalität, Sicherheitsbedrohung oder Verdacht in Verbindung gebracht wird."
99,NO_CRIME_FRAME,"Die [Gruppe 1] werden als Opfer eines fremdenfeindlichen Brandanschlags dargestellt, was keine Verknüpfung der Gruppe mit Kriminalität, Sicherheitsbedrohung oder Prävention darstellt, sondern vielmehr die Gruppe als Opfer von Gewalt zeigt."
100,NO_CRIME_FRAME,"Der Absatz beschreibt eine politische Auseinandersetzung und einen Kriegsbericht aus dem Kontext der Ukraine, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland verknüpft wird."
101,NO_CRIME_FRAME,"Der Absatz beschreibt die Erfahrungen eines afghanischen Flüchtlings und die Situation in Afghanistan nach der Machtübernahme der Taliban, ohne die Gruppe [Gruppe 1] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland zu verknüpfen."
