testset_id,article_id,par_index,group,text_block_en,label_robin,label_hamid,label_marmee,notes_robin,notes_hamid,notes_marmee
11,632712a93dd49b919c1cffc3,11,,"Spaniens Ministerpräsident Pedro Sanchez meldete sich aus Brüssel zu Wort und lobte die Zusammenarbeit spanischer und marokkanischer Behörden, um den in seinen Worten ""gewaltsamen und organisierten Angriff"" auf den Grenzzaun von Melilla zu beenden.

Am Vortag waren spanischen Medienberichten zufolge 116 marokkanische Beamte verletzt worden, als sie etwa 500 [Gruppe 1] von der Grenzanlage fernhalten wollten. Ein Polizist habe auf der Intensivstation eines Krankenhauses behandelt werden müssen. Bereits im März war es mehreren Hundert [Gruppe 1] gelungen, über den Grenzzaun nach Melilla zu gelangen.

Übergang in die EU",,,,,,
12,632712ae3dd49b919c1e876e,58,,"Ein ungleicher Kampf

Für die Behörden ist es ein Kampf mit ungleichen Mitteln. Gruppen verschwinden, tauchen wieder auf. Gruppennamen und Decknamen sind wiederverwertbar. Die Zusammenhänge ergeben sich weniger durch straffe Organisation als durch gemeinsame Ideologie. Was das Netz stark macht, ist, dass es sich nicht um eine feste Gruppe handelt, sondern um Nutzer irgendwo auf der Welt an Rechnern und Handys, in Jugendzimmern und anderswo, die einzig ihr Hass eint. Hass auf [Gruppe 1], auf Politiker, auf Journalisten.

Bei der Europäischen Polizeibehörde Europol erklärt man das Problem mit der Strafverfolgung dieser Gruppen so: Früher habe es eine klare Hierarchie gegeben, nun gehe es mehr um individuelle Verantwortung. „In diesen komplexen Situationen müssen wir uns mit den einzelnen Personen befassen, denn ein oder zwei Personen, die auf eigene Faust handeln, können eine ernsthafte Bedrohung darstellen.“",,,,,,
13,63ad662d4e6e6fb0000315b6,4,,"Erst untersagen die Taliban Frauen in Afghanistan jegliche Schul- und Weiterbildung, nun ordnen sie ein Arbeitsverbot für sämtliche NGOs an. Das Ausland reagiert ""zutiefst besorgt"": Der Schritt müsse umgehend rückgängig gemacht werden. Anderenfalls drohe dem Land eine humanitäre Krise.

Nach dem UN-Sicherheitsrat haben nun auch die Europäische Union sowie Länder wie die USA, Deutschland und Frankreich die Taliban aufgefordert, das Arbeitsverbot für Frauen in Nichtregierungsorganisationen (NGO) in Afghanistan sofort zurückzunehmen. In einer gemeinsamen Erklärung der Außenminister und Außenministerinnen von zwölf Ländern sowie des EU-Außenbeauftragten hieß es, man sei über ""die rücksichtslose und gefährliche Anordnung"" der militanten [Gruppe 1] ""zutiefst besorgt"".

""Wir fordern die Taliban auf, diese Entscheidung dringend rückgängig zu machen"", hieß es weiter. An der vom US-Außenministerium am Mittwoch (Ortszeit) veröffentlichten Erklärung waren zudem Australien, Kanada, die Schweiz, Italien, Japan, Dänemark, Norwegen, die Niederlande und Großbritannien beteiligt. Zuvor hatte der UN-Sicherheitsrat die Taliban aufgefordert, die Frauenrechte in dem Land zu achten.",,,,,,
14,6327129b3dd49b919c16e9fa,11,,"Schwer mangelernährter Junge im Kabuler Hospital: Babys mit vor Hunger aufgeblähtem Bauch

Zunächst, bei den jahrelangen Verhandlungen mit den USA in Doha, hatten sich die [Andere Gruppe] noch moderat gezeigt. Die westlichen Unterhändler gewannen den Eindruck, dass die neuen Taliban offener als ihre engstirnigen Vorgänger seien, weniger ideologisch. Im Februar 2020, anderthalb Jahre vor ihrer Machtergreifung, hatte der Vize-Taliban­-Führer Sirajuddin Haqqani der Welt noch ein »neues, inklusives politisches System« versprochen, »in dem die Stimme jedes [Gruppe 1] zum Ausdruck kommt und sich kein [Gruppe 1] ausgeschlossen fühlt«.

Davon kann schon lange keine Rede mehr sein. Die Führungsriegen vieler Ministerien sind fast ausschließlich mit Taliban besetzt, ein hoher Beamter berichtet, er würde von den neuen Herrschern wie »ein Untertan« behandelt und als »Lakai der Ungläubigen« beschimpft. Das Frauenministerium existiert nicht mehr. Stattdessen residiert dort jetzt das Tugendministerium, zusammen mit der neuen Religionspolizei.",,,,,,
15,632712b83dd49b919c227870,12,,"Die Ereignisse lösten auch in Spanien Empörung aus. ""Caminando Fronteras"" prangerte an, die Opfer hätten ""stundenlang hilflos gelitten, unter den grausamen Blicken derjenigen, die ihnen hätten helfen sollen und es nicht taten"". Nach Angaben von MAP wurden Dutzende weitere [Andere Gruppe] sowie 140 Sicherheitskräfte verletzt. Das marokkanische Innenministerium warf den [Andere Gruppe] vor, selbst Gewalt eingesetzt zu haben. 133 [Andere Gruppe] sei es gelungen, über den Zaun auf spanisches Gebiet zu gelangen, meldeten spanische Medien.

Marokko war 1956 von Frankreich und Spanien unabhängig geworden. Dennoch hält Spanien dort weiterhin zwei Exklaven: Melilla und das 250 Kilometer weiter westlich gelegene Ceuta an der Meerenge von Gibraltar. Beide Gebiete werden von Marokko beansprucht. In der Nähe warten oft Zehntausende [Gruppe 1] vorwiegend aus Ländern südlich der Sahara auf eine Chance, in die EU zu gelangen.

",,,,,,
16,632712823dd49b919c0caa2a,22,,"Die Klassifizierung als [Gruppe 1], „deutschblütig“ oder „Mischling“ ersten oder zweiten Grades entschied über Leben und Tod. Mit Verwaltungsakten und Dokumenten, die jeder von uns kennt: mit Pässen, Anträgen oder dem Erheben von Einsprüchen gegen behördliche Entscheidungen. Menschen, die unter Verdacht standen, jüdisch zu sein, konnten mit genealogischen Berichten und einer notariellen Erklärung ihre „Reinrassigkeit“ vor Gericht unter Beweis stellen, mit dem sogenannten „Sperr-Stempel“ im Pass konnten Deportationen verzögert werden, etwa, wenn man etwa für den Judenrat arbeitete. Wie das Leben unter Bedingungen von Angst, Misstrauen aber auch Solidarität – alles gleichzeitig – bestimmt wurde, wird anhand der Beschreibung der Handlungen und Motive der potentiellen Verräter deutlich.

So kommt ein bisher in Deutschland kaum rezipiertes Thema zur Sprache: die Rolle der Judenräte und die Frage der jüdischen Kollaboration im Holocaust. Hochrangige Nazis zwangen anerkannte jüdische Personen, ihnen bei der systematischen Erfassung, Deportation und Vernichtung der eigenen Gemeinschaft zu assistieren. Die Brisanz dieses Aspekts in den Erinnerungsdiskursen der Nachkriegszeit liegt sofort auf der Hand: Hier droht die Entlastung der NS-Täter, indem eine Teilschuld auf die [Gruppe 1] verlagert wird.

Unter den Überlebenden hingegen führte die Kollaboration schon früh zur Auseinandersetzung. Unmittelbar nach Kriegsende mischten sich in den DP-Lagern jüdische Kollaborateure unter die [Andere Gruppe] und versuchten, ihre Vergangenheit zu kaschieren. In Fällen, in denen sie enttarnt wurden, kam es bisweilen sogar zu Lynchmorden.",,,,,,
17,635647692c368528ba097eab,4,,"Wenige Tage später und nur wenige Kilometer von Ludwigshafen entfernt schon die nächste Bluttat: am Freitagmittag griff ein 27jähriger [Andere Gruppe] seine 16jährige Bekannte und deren 36jährige Mutter mit einem Messer in einem Mehrfamilienhaus an. Der Täter flüchtete vom Tatort und konnte bei der sofort eingeleiteten Fahndung von Polizeikräften vorläufig festgenommen werden. Beide Frauen wurden schwer verletzt und mußten vom Rettungsdienst ins Krankenhaus gebracht werden. Staatsanwaltschaft und Kriminalpolizei haben die Ermittlungen aufgenommen und sprechen in einer gemeinsamen Presseerklärung von einer Tötungsabsicht.

Unterdessen wird Kritik an Innenministerin Nancy Faeser (SPD) laut. Sie äußerte sich bisher zu dem Doppelmord in Ludwigshafen mit keiner Silbe. Nach dem Brand einer „[Gruppe 1]“unterkunft in Wismar, deren Hintergründe noch völlig unklar sind, kündigte sie allerdings prompt die ganze „Härte des Rechtsstaates“ und weitere Maßnahmen im „Kampf gegen Rechts“ an. (rk)

",,,,,,
18,6327127a3dd49b919c08bbf4,22,,"Doch mittlerweile gibt es ein wunderschön aufgemachtes und hervorragend dokumentiertes Buch darüber: „The Massacre That Never Was: The Myth of Deir Yassin and the Creation of the Palestinian Refugee Problem“. Das Buch wurde von Eliezer Tauber, Professor an der Bar Ilan Universität, verfasst und dokumentiert akribisch, was tatsächlich geschah.

Männer kämpften, und aus verschiedenen Gründen gewannen die [Gruppe 1]. Die Zahl der Beteiligten war gering. Laut Tauber gab es „etwa 120 (jüdische) Angreifer und 70-80 (arabische) Verteidiger“. Die [Andere Gruppe] wurden „getötet, nicht massakriert“. Aber sie haben verloren. Das arabische Dorf kämpfte allein, ohne Verstärkung und ohne Unterstützung durch benachbarte arabische Dörfer. Die meisten der [Andere Gruppe], die in Deir Yassin getötet wurden, waren Kämpfer, Männer im kampffähigen Alter, nicht Frauen, Kinder oder ältere Menschen, wie behauptet wurde.

Doch die Schande der Niederlage war für die [Andere Gruppe] nicht zu ertragen. Was die [Andere Gruppe] aus Deir Yassin und fast überall sonst vertrieb, ähnelte auf unheimliche Weise dem, was viele [Andere Gruppe] beziehungsweise Palästinenser heute tun. Sie verstecken sich und ihre Waffen unter ihren Frauen, Kindern und älteren Menschen. Sie umgeben sich mit verletzlichen menschlichen Schutzschilden und behaupten dann, wenn Israel terroristische Abschussrampen und Infrastrukturen ins Visier nimmt, es habe es auf Frauen und Kinder abgesehen.",,,,,,
19,63692cd82b39f9d91e047638,12,,"Maxim Timtschenko ist Vorstandschef des ukrainischen Kohlekraftwerksbetreibers und Kohleförderers DTEK. Das Unternehmen gehört zur Beteiligungsgesellschaft SCM des Oligarchen Rinat Achmetow.

Wie ist die Taktik der [Gruppe 1] bei diesen Angriffen?

Sie zerstören die Umspannstationen in der Nähe der Kraftwerke, bisher nicht so sehr die Kraftwerke selbst. Ihre Taktik besteht darin, die Stromerzeugung vom Netz zu trennen. Auf diese Weise können wir derzeit nicht gleichmäßig übertragen. In einigen Regionen haben wir einen Stromüberschuss, in anderen ein Defizit.",,,,,,
20,6327129b3dd49b919c16d85f,6,,"Schon am ersten Prozesstag wurde klar: Es wird ein langwieriges, nervenaufreibendes Verfahren, in dem vor allem die Aussagen der Opfer und Tatzeugen die Vorwürfe der Generalstaatsanwaltschaft untermauern sollen. Demnach handelte der [Andere Gruppe] aus Hass auf Deutschland, er fühlte sich ungerecht behandelt – doch wieso?

Während der Attacke soll er mindestens zweimal den Ausruf »Allahu Akbar« (»Gott ist groß«) gerufen haben. Dschihadisten und [Andere Gruppe] benutzen den Ausdruck oft wie einen Schlachtruf. Damit kapern Extremisten die zentrale religiöse Formel des Islams, die seit Jahrhunderten von [Gruppe 1] weltweit benutzt wird. Weitere Hinweise auf Extremismus fanden die Ermittler aber nicht. »Zu keinem Zeitpunkt hat es terroristische Motive gegeben«, versicherte der Anwalt des Beschuldigten, Hans-Jochen Schrepfer, im Auftrag seines Mandanten.

Seit Jahren psychisch auffällig",,,,,,
21,Jouwatch_added_509922c588b73d3b6127ab0161e670ef83116116_,1,,"

Nach dem zweiten Freitagsgebet im Ramadan haben [Gruppe 1] am Tempelberg in Jerusalem randaliert, Steine und Feuerwerk geworfen. Israelische Sicherheitskräfte anworteten mit Tränengas und Gummigeschossen. Etwa 60 [Gruppe 1] und drei Polizisten wurden verletzt. 

Im Vorfeld des Ramadan wurden 13 [Andere Gruppe] von arabischen Terroristen getötet, die schlimmste Gewaltwelle seit 2006. Am vergangenen Sonntag verwüstete ein wütender Mob das Grab des Propheten Joseph in der arabisch besetzten Stadt Nablus, dem biblischen Sichem. Am Montag wurden zwei [Andere Gruppe] bei dem Versuch, das Heiligtum zu erreichen, angeschossen und mussten von der israelischen Armee ins Krankenhaus gebracht werden.",,,,,,
22,6327129a3dd49b919c16bdfe,10,,"Nach Angaben der Uno sind seit Beginn der Kämpfe 2014 mehr als 14.000 Menschen getötet worden, darunter viele Zivilisten. Über 2000 Menschen starben allein im Jahr 2014, während der Hochphase der Gefechte.

Im Kontext der kriegerischen Auseinandersetzungen kam es am 17. Juli 2014 außerdem zum Abschuss der Passagiermaschine MH17 der Malaysia Airlines, die auf dem Weg von Amsterdam nach Kuala Lumpur war. Alle 289 Menschen am Bord des Fliegers starben. Die Anklage bei dem späteren Gerichtsprozess macht drei [Gruppe 1] und einen [Andere Gruppe] aus den Reihen der Separatisten für den Abschuss der Boeing mit einer russischen Luftabwehrrakete verantwortlich.

Wie sind die »Volksrepubliken« DNR und LNR entstanden?",,,,,,
23,OSZ-doc7kf67hs4g4n1e1avqf6e,2,,"Die illegalen Einreisen von [Gruppe 1] im Herbst 2021 über die sogenannte Belarus-Route haben in Vorpommern die Zahl der Kriminalitätsfälle in diesem Bereich deutlich steigen lassen. Wie aus der aktuellen Kriminalitätsstatistik der Polizeiinspektion Anklam hervorgeht, wurden 2021 insgesamt 897 Straftaten gegen das Aufenthalts-, Asyl- und das EU-Freizügigkeitsgesetz aufgenommen. Das war mehr als das Dreifache des Wertes von 2020.

Hintergrund war die hohe Zahl an Menschen, die vor allem aus Syrien, Irak, Iran und Jemen kamen und meist mit Schleusern von der polnischen Grenze zu Belarus in Fahrzeugen in den Süden Vorpommerns gebracht wurden. Die Bundespolizei griff immer wieder Gruppen von [Gruppe 1] auf, die zum Teil unter widrigen Bedingungen transportiert worden waren. Wegen des "" Tatortprinzips""  werden solche Straftaten laut Polizei in die Kriminalitätsstatistik der Region Vorpommern-Greifswald einbezogen, die an [Andere Gruppe] grenzt.

Erste Prozesse gegen  mutmaßliche Schleuser",,,,,,
24,BADZ-51292657470,5,,"Ebenfalls am 5. Februar um 20.15 Uhr macht sich Nils Straatmann ""2000 Jahre später - Zu Fuß durch Israel und Palästina"" auf. Es ist die Geburtsstätte dreier Weltreligionen und doch vor allem für den Konflikt bekannt, der den Nahen Osten seit Jahrhunderten begleitet. Straatmann begibt sich auf eine aufrüttelnde Wanderung und trifft auf Mauern, Panzer und Soldaten, aber auch auf Hoffnung, Gastfreundschaft und Weisheit. Farbig und orientalisch wird es dann einen Tag später mit großartigen Naturschönheiten und jahrhundertealten Traditionen: Die neue Live-Reportage ""Marokko"" (6. Februar um 11 Uhr) von Reiner Harscher zeigt die landschaftliche Vielfalt und reiche Kultur Marokkos. 

Mit ""Afghanistan"" zeigen Monika Koch und Heiner Tettenborn um 14.30 Uhr am 6. Februar einen tiefen Einblick in ein zerrissenes Land. In Afghanistan sind die Taliban nach dem Abzug der internationalen Truppen wieder an der Macht. Während zahllose Menschen eine neue Schreckensherrschaft fürchten, begrüßen andere die Rückkehr, weil die Ideologie der radikalen [Gruppe 1] ihrem Weltbild doch weitaus mehr als die westlichen Werte entspricht.

Zum Festival-Abschluss am Sonntag um 18 Uhr zeigt die Mundologia erstmals in Deutschland die neue Live-Show ""Überirdisch - Die Welt von oben"". Mit fliegenden Kameras lässt der Schweizer Fotograf Stefan Forster die Schönheit der Erde neu erleben. Zu sehen sind Luftaufnahmen aus Patagonien, den Anden, Australien, Neuseeland, Namibia, Spitzbergen, Island, Grönland, Norwegen und der Schweiz. ",,,,,,
25,636bb3b4ef10feb4a3067b58,9,,"Bekannt wurde J.D. Vance eigentlich durch ein Buch, in dem er Donald Trump kritisierte - doch als er dessen Hilfe brauchte, schwenkte er um und gerierte sich als Fan des Ex-Präsidenten. Von Trump für seinen ""Arsch-Kuss"" verspottet, ist Vance nun Senator für Ohio. Sein Ergebnis ist überaus überzeugend. Mit sieben Prozentpunkten Vorsprung wies er den Demokraten Tim Ryan in die Schranken, dem Experten eigentlich einen starken Wahlkampf attestiert hatten. Vance ist das Beispiel, dass Trumps Hilfe noch Wahlen entscheiden kann, auch wenn das in der Wahlnacht bei weitem nicht überall der Fall war. Selbst wenn der Stern des Ex-Präsidenten sinken sollte, gehört Vance zu jenen Politikern, die den Trumpismus auch ohne Trump weiterverfolgen werden.

Dass Ron DeSantis als Gouverneur von Florida wiedergewählt wurde, ist keine Überraschung. Die Höhe allerdings schon: DeSantis holte 59,4 Prozent, sein demokratischer Herausforderer kam gerade einmal auf 40. Ein Erfolg im Erfolg war, dass er auch die den Wahlkreis Miami-Dade gewann, der bisher die Demokratenhochburg schlechthin im Bundesstaat war. Der haushohe Sieg wird DeSantis Rückenwind im Kampf um eine Präsidentschaftskandidatur geben und die Rivalität mit Trump anheizen. Der Republikaner ist USA-weit die Hoffnung jener Parteifreunde, die Trump mittlerweile für zu kontrovers halten, um noch Wahlen zu gewinnen. Trotzdem: Sollte er tatsächlich 2024 ins Weiße Haus einziehen, dann mit den Themen, die auch Trump groß gemacht haben. Zum Beispiel mit der Frage, warum die [Gruppe 1] für die Sicherheit Deutschlands und Europas zahlen sollten. ""Wenn DeSantis Präsident würde, müssen sich die [Andere Gruppe] warm anziehen und das nicht nur im Winter"", sagte der US-Kenner und Politikwissenschaftler Michael Werz bei einem Pressegespräch im Berliner Thinktank ""Progressives Zentrum"" dazu.

Maura Healey, Sarah Huckabee Sanders und Josh Shapiro",,,,,,
26,632712b83dd49b919c22767e,12,,"Parallele zum Tiergarten-Mord

Der Fall ähnelt dem sogenannten Tiergarten-Mord in Berlin. Wegen der Erschießung eines [Gruppe 1] im August 2019 in der Parkanlage Kleiner Tiergarten war ein [Andere Gruppe] Mitte Dezember 2021 zu lebenslanger Haft verurteilt worden. Im Urteil war von ""Staatsterrorismus"" die Rede.

""Vom Prinzip her ist der Fall ähnlich gelagert, wie der Tiergarten-Mord"", sagte die Tschetschenien-Expertin Miriam Katharina Heß von der Deutschen Gesellschaft für Auswärtige Politik vor Prozessbeginn. ""Man kann ihn in die Tradition russischer Auftragsmorde in Europa setzen.""",,,,,,
