testset_id,group,text_block_en,final_human_label,label_a,explanation_a,label_b,explanation_b,label_tiebreak,tiebreak_reasoning,final_label,decision_type
46,,"Bekannt wurde J.D. Vance eigentlich durch ein Buch, in dem er Donald Trump kritisierte - doch als er dessen Hilfe brauchte, schwenkte er um und gerierte sich als Fan des Ex-Präsidenten. Von Trump für seinen ""Arsch-Kuss"" verspottet, ist Vance nun Senator für Ohio. Sein Ergebnis ist überaus überzeugend. Mit sieben Prozentpunkten Vorsprung wies er den Demokraten Tim Ryan in die Schranken, dem Experten eigentlich einen starken Wahlkampf attestiert hatten. Vance ist das Beispiel, dass Trumps Hilfe noch Wahlen entscheiden kann, auch wenn das in der Wahlnacht bei weitem nicht überall der Fall war. Selbst wenn der Stern des Ex-Präsidenten sinken sollte, gehört Vance zu jenen Politikern, die den Trumpismus auch ohne Trump weiterverfolgen werden.

Dass Ron DeSantis als Gouverneur von Florida wiedergewählt wurde, ist keine Überraschung. Die Höhe allerdings schon: DeSantis holte 59,4 Prozent, sein demokratischer Herausforderer kam gerade einmal auf 40. Ein Erfolg im Erfolg war, dass er auch die den Wahlkreis Miami-Dade gewann, der bisher die Demokratenhochburg schlechthin im Bundesstaat war. Der haushohe Sieg wird DeSantis Rückenwind im Kampf um eine Präsidentschaftskandidatur geben und die Rivalität mit Trump anheizen. Der Republikaner ist USA-weit die Hoffnung jener Parteifreunde, die Trump mittlerweile für zu kontrovers halten, um noch Wahlen zu gewinnen. Trotzdem: Sollte er tatsächlich 2024 ins Weiße Haus einziehen, dann mit den Themen, die auch Trump groß gemacht haben. Zum Beispiel mit der Frage, warum die [Gruppe 1] für die Sicherheit Deutschlands und Europas zahlen sollten. ""Wenn DeSantis Präsident würde, müssen sich die [Andere Gruppe] warm anziehen und das nicht nur im Winter"", sagte der US-Kenner und Politikwissenschaftler Michael Werz bei einem Pressegespräch im Berliner Thinktank ""Progressives Zentrum"" dazu.

Maura Healey, Sarah Huckabee Sanders und Josh Shapiro",NO_CRIME_FRAME,NO_CRIME_FRAME,"Der Absatz verknüpft die Gruppe **nicht explizit mit Kriminalität, Sicherheit oder Prävention**, sondern zitiert lediglich eine **politische Meinungsäußerung** (Michael Werz) als rhetorische Übertreibung („warm anziehen“) ohne konkrete Bezugnahme zu Straftaten, Ermittlungen oder Sicherheitsrisiken. Es handelt sich um eine **allgemeine politische Debatte** ohne expliziten Kriminalitäts- oder Sicherheitsrahmen.",NO_CRIME_FRAME,"Der Absatz beschreibt politische Ereignisse und Wahlkampfthemen in den USA ohne jeden expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im Kontext der [Gruppe 1] oder [andere Gruppe] in Deutschland.",,,NO_CRIME_FRAME,agreement
47,REFUG,"Ohne diese Diskussionskultur, schreibt Schlauch, wäre es den Grünen niemals möglich gewesen, über drei Legislaturperioden den Ministerpräsidenten in Baden-Württemberg zu stellen. Auch habe Palmer, anders als vom Landesvorstand behauptet, die „politische Durchsetzungsfähigkeit seiner Partei“ nicht herabgesetzt, wie seine Erfolge in Tübingen bei Wahlen und in der Praxis nach 16 Jahren im Amt zeigten. Palmer habe die CO2-Emissionen um 37 Prozent reduziert, ein durchgängiges Radverkehrsnetz gebaut, eine Steuer auf Wegwerfverpackungen und die Solarpflicht für Neubauten eingeführt.

Einige der 24 mutmaßlichen Verfehlungen Palmers versucht Schlauch mit dem Verweis auf grüne Regierungspolitik auszuräumen. Wenn der Oberbürgermeister behaupte, [Andere Gruppe] müssten sich gesetzestreuer verhalten als deutsche Staatsbürger, dann sei das eine Forderung, die sich nun auch in der Koalitionsvereinbarung der Ampel-Regierung finde. Darin wurde eine „Rückführungsoffensive“ für schwere Straftäter und Gefährder vereinbart. Die Forderung, nicht integrationswillige [Gruppe 1] wieder in einer Landeseinrichtung unterzubringen, stehe auch im Koalitionsvertrag der schwarz-grünen Landesregierung in Hessen.

In dem Schriftsatz werden allerdings auch zahlreiche Irrtümer Palmers eingestanden. Mit seiner im Jahr 2011 in einem Strategiepapier für den Parteirat formulierten Empfehlung, das Adoptionsrecht für gleichgeschlechtliche Paare nicht zu einem zentralen Thema zu machen, habe er falsch gelegen. Anders als erwartet, habe es dafür 2017 eine gesellschaftliche Mehrheit gegeben.",NO_CRIME_FRAME,CRIME_FRAME_NEG,"Der Text verknüpft explizit **[Gruppe 1]** mit einer **„Rückführungsoffensive für schwere Straftäter und Gefährder“** sowie mit der Forderung, **„nicht integrationswillige [Gruppe 1]“** in Landeseinrichtungen unterzubringen – dies stellt eine direkte Verbindung zu Kriminalität, Sicherheitsbedrohung und staatlichen Präventionsmaßnahmen gegen die Gruppe dar.",CRIME_FRAME_NEG,"Die Gruppe wird explizit mit der Notwendigkeit gesetzestreuern Verhaltens in Verbindung gebracht und es wird eine ""Rückführungsoffensive"" für schwere Straftäter und Gefährder sowie die Unterbringung nicht integrationswilliger Gruppenmitglieder in einer Landeseinrichtung thematisiert, was eine Verknüpfung mit Kriminalität und Sicherheitsbedenken darstellt.",,,CRIME_FRAME_NEG,agreement
48,PRT,"Dem Vorfall vorangegangen war ein jahrelanger Streit mit dem Nachbarn, der ihn mehrfach als [Andere Gruppe] beschimpft haben soll.

Die Staatsanwaltschaft hatte elf Jahre Haft für den [Gruppe 1] gefordert.",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit einer Straftat (Mord) und einer strafrechtlichen Bewertung (Haftforderung der Staatsanwaltschaft), was als kriminelle Zuschreibung zählt.",CRIME_FRAME_NEG,"Der Absatz beschreibt einen [Gruppe 1] als Täter, für den die Staatsanwaltschaft elf Jahre Haft gefordert hat, was eine explizite Verknüpfung der Gruppe mit Kriminalität darstellt.",,,CRIME_FRAME_NEG,agreement
49,MIGR,"Laut dem Leiter der gemeinnützigen Organisation, Marco Modrow, beschweren sich immer wieder [Gruppe 1] aus dem Land über die Art der Hilfe, die sie bei der „Tafel“ erhalten. „Die Gäste aus der Ukraine waren pikiert, daß ihnen fremde Menschen die Tasche füllten, daß sie nicht selbst aussuchen konnten. Es gab Ärger, daß mal ein Apfel eine Druckstelle hatte oder das Mindesthaltbarkeitsdatum fast erreicht war“, schilderte er. Das kenne er von anderen [Gruppe 1] wie [Andere Gruppe] nicht.

Ein [Gruppe 1] habe eine seiner Mitarbeiterinnen gar mit einem Salatkopf beworfen, weil er ein wenig welk gewesen sei. „Wir werden hier fast täglich angepöbelt, weil jemandem irgendetwas nicht paßt.“

„Tafel“ fordert [Andere Gruppe] zu Kompromissen auf",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"Der Absatz beschreibt explizit eine physische Gewalthandlung (Bewerfen mit einem Salatkopf) und wiederholte aggressive Auseinandersetzungen („angepöbelt“) durch ein Gruppenmitglied, das als Täter agiert – dies zählt als direkte Verknüpfung mit Kriminalität/Sicherheitsbedrohung.",CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das eine Mitarbeiterin mit einem Salatkopf bewirft und die Mitarbeiter der Organisation werden fast täglich angepöbelt, was eine Verknüpfung der Gruppe mit Gewalt und aggressivem Verhalten darstellt.",,,CRIME_FRAME_NEG,agreement
50,REFUG,"Dresden (dpa/sn) - Knapp anderthalb Jahre nach dem gewaltsamen Tod eines jungen Mannes im Plattenbauviertel Gorbitz muss sich ein 22-Jähriger wegen Mordes am Landgericht Dresden verantworten. Die Staatsanwaltschaft wirft ihm laut der am Dienstag verlesenen Anklage zudem versuchten Totschlag, gefährliche Körperverletzung und Diebstahl vor. Danach soll der [Andere Gruppe] aus Afghanistan den gleichaltrigen Landsmann nach einem Streit am 27. Juni 2021 getötet haben, um die anderen Staftaten zu vertuschen. Er hatte sich Stunden später gestellt und Angaben gemacht, seitdem schweigt er. Sein Verteidiger sagte, sein Mandant wolle sich nicht äußern.

Nach Überzeugung der Staatsanwaltschaft hat der Angeklagte seinem Bekannten in der Nacht in dessen Wohnung zunächst ein Messer in den Hals gerammt, dabei eine Schlagader durchtrennt und dann mindestens 100 Euro gestohlen. Er habe das Geld verspielt, sei drei Stunden später zurückgekommen und habe das Opfer mit einem Gürtel erdrosselt. Ein Kommissar fand am Morgen die Leiche verdeckt unter Decken und Kissen neben dem Schlafsofa. Die beiden [Gruppe 1] hatten sich in Deutschland kennengelernt.

Der Prozess wird am Donnerstag fortgesetzt, bis Mitte Dezember sind weitere acht Verhandlungstage geplant.",CRIME_FRAME_NEG,NO_CRIME_FRAME,"**Label:** **NO_CRIME_FRAME**

**Explanation:** Die Gruppe wird im Text **nicht als Täter, Verdächtige oder mit Kriminalität verknüpft** – der Tatverdächtige gehört explizit der **[Andere Gruppe]** an, während die **[Gruppe 1]** nur als Opferkontext (Landsmann des Täters) erwähnt wird.",CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das als Täter schwerer Straftaten wie Mord, versuchter Totschlag, gefährliche Körperverletzung und Diebstahl dargestellt wird und direkt mit Kriminalität verknüpft ist.",NO_CRIME_FRAME,"Model A ist zutreffender, da es die Unterscheidung zwischen Täter und Opfergruppe korrekt berücksichtigt und damit die Definition von NO_CRIME_FRAME für Opferkontexte erfüllt, während Modell B die spezifische Opferrolle ignoriert.",NO_CRIME_FRAME,tiebreak
51,AFG,"[[Ein Mitbewohner zu BILD:][ „Man sah ihn kaum, er war zurückhaltend. Arbeit hatte er nicht.“]]

[[In der Unterkunft „Kornkamp“ war im September 2021 eine [Gruppe 1] erstochen, ihr Ehemann später zu lebenslanger Haft verurteilt worden.]]

[[Jetzt der Fall des vergewaltigten Mädchens. Der mutmaßliche Täter wurde einem Richter vorgeführt, der Haftbefehl erließ. Der aus Guinea stammende Mann kam in U-Haft.]]",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"Der Text verknüpft die **[Gruppe 1]** explizit mit einem Mordfall („eine **[Gruppe 1]** erstochen“) und einem Vergewaltigungsverdacht („der aus Guinea stammende Mann“, also Mitglied der Gruppe), der zu Ermittlungen und Haftbefehl führt – beide Fälle sind als mutmaßliche Straftaten mit der Gruppe assoziiert.",CRIME_FRAME_NEG,"Der Absatz verknüpft die Gruppe explizit mit Kriminalität, da ein Mitglied der Gruppe als mutmaßlicher Täter einer Vergewaltigung dargestellt wird und in U-Haft kam.",,,CRIME_FRAME_NEG,agreement
52,GBR,"Im Estadio Ramón Sánchez Pizjuán herrschte von Beginn an eine Wahnsinnsstimmung. Die Eintracht-Fans hatten ihr Team mit einer erneut beeindruckenden Choreographie empfangen, in den Gassen und auf den Plätzen der andalusischen Metropole verfolgten Tausende Anhänger beider Clubs das Endspiel ohne Ticket. Während der Partie berichteten spanische Medien von Auseinandersetzungen beider Fangruppen etwa drei Stunden vor dem Anpfiff. In der Arena überwog die Euphorie. ""Wir werden der Chef im Stadion sein"", hatte Eintracht-Präsident Peter Fischer angekündigt.

Und die Hessen starteten sehr engagiert in die Partie. Mit viel Risiko und scharfen Pässen spielte sich die Eintracht immer wieder an den Rangers-Strafraum – musste in der fünften Minute aber gleich einen Schockmoment überstehen. Rode blieb nach einem Foul von John Lundstram am Kopf blutend auf dem Rasen liegen und wurde mehrere Minuten behandelt. Der [Gruppe 1] hatte den Eintracht-Profi mit dem Schuhstollen an der Stirn getroffen.

Die erste Halbchance hatte Daichi Kamada, der nach einem kurzen Solo aber nicht zum Abschluss kam. Den anschließenden Schuss von Djibril Sow fing Glasgows 40 Jahre alter Torwart Allan McGregor ohne Mühe (12.). Beim Versuch von Ansgar Knauff mit dem linken Fuß hatte McGegor schon mehr Mühe (20.). Die Eintracht war zumindest in der ersten halben Stunde deutlich näher an der Führung, beim Konter über Filip Kostic schien mehr drin (32.).",NO_CRIME_FRAME,NO_CRIME_FRAME,"Die Gruppe wird zwar als Täter eines Fouls (Schuhstollen-Tritt) im Kontext eines Fußballspiels erwähnt, aber es handelt sich um eine **sportliche Auseinandersetzung ohne Bezug zu Kriminalität, Sicherheit, Terrorismus oder Prävention** – zudem ist die Handlung nicht als Straftat (z. B. Körperverletzung, Gewalt) explizit gerahmt, sondern als Teil eines Wettkampfs.",CRIME_FRAME_NEG,"Der Absatz beschreibt ein gewalttätiges Verhalten eines [Gruppe 1]-Mitglieds, das einen Eintracht-Profi mit dem Schuhstollen an der Stirn getroffen hat, was eine explizite Verknüpfung der Gruppe mit physischer Gewalt darstellt.",NO_CRIME_FRAME,"Da die Vorfälle im Rahmen eines Fußballspiels in Spanien stattfinden und somit nicht als Sicherheitsproblem im deutschen Inland gerahmt sind, entspricht dies der Definition von NO_CRIME_FRAME.",NO_CRIME_FRAME,tiebreak
53,MUSL,"Zur Wahl stehen am 24. April nun nicht nur zwei sehr verschiedene Kandidaten, sondern zwei Gesellschaftsmodelle: Macron sieht in einer engeren Zusammenarbeit der [Andere Gruppe] eine Chance für Frankreich, Le Pen hält sie für eine Bedrohung. Macron möchte die Grenzen des Schengenraums besser schützen, Marine Le Pen will den Schengenraum neu verhandeln. Die Frage ist, für welches Modell sich die [Andere Gruppe] entscheiden werden.

Wollen sie wirklich eine Präsidentin, die das Tragen eines Kopftuchs im öffentlichen Raum unter Strafe stellen will? 135 Euro sollen [Gruppe 1] zahlen, wenn sie das geplante Verbot ignorieren. Ob sie damit nicht gegen das Gebot der freien Religionsausübung verstoße, wurde sie in ihrem ersten Interview nach der Wahl am Dienstagmorgen im Radiosender »France Inter« gefragt.

»Das Kopftuch ist eine islamistische Uniform, keine muslimische Uniform. Es ist die Uniform einer Ideologie, nicht die einer Religion«, antwortete Le Pen.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Der Text verknüpft die Gruppe zwar mit einem **Kopftuchverbot als staatlicher Maßnahme** und einer **ideologischen Deutung des Kopftuchs als „islamistische Uniform“**, jedoch wird **keine konkrete Kriminalität, Sicherheitsbedrohung, Gewalt, Terrorismus, Verdacht oder Prävention** explizit genannt. Die Diskussion dreht sich um **religiöse Symbolik und politische Regulierung**, nicht um Straftaten oder Sicherheitsrisiken.",NO_CRIME_FRAME,"Der Absatz beschreibt eine politische Debatte und Wahlkampfthemen in Frankreich, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland zu verknüpfen.",,,NO_CRIME_FRAME,agreement
54,GEO,"Noch in der Nacht konnte von den Ermittlern der Grenzpolizei ein weiterer Ladendiebstahl in einem Verbrauchermarkt in Murnau vom Samstag, 19. November 2022, den beiden Verdächtigen nachgewiesen werden. Dort waren 23 Flaschen von bislang unbekannten Tätern entwendet worden. Die Auswertung der Videoaufzeichnungen vom Verbrauchermarkt überführte die beiden Verdächtigen.

Die Weiterfahrt wurde unterbunden und ein Strafverfahren wegen Fahrens ohne Fahrerlaubnis und der Ladendiebstähle eingeleitet. Die Spirituosen wurden sichergestellt. Der 31-jährige [Gruppe 1] wurde aufgefordert das Bundesgebiet zu verlassen. kb",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"**Label:** CRIME_FRAME_NEG
**Explanation:** Der Absatz verknüpft die Gruppe explizit mit Ladendiebstahl und Fahrens ohne Fahrerlaubnis durch Ermittlungen, Verdacht und die Einleitung eines Strafverfahrens gegen ein Gruppenmitglied.",CRIME_FRAME_NEG,"Der Absatz beschreibt, wie ein 31-jähriger [Gruppe 1] wegen Ladendiebstahls und Fahrens ohne Fahrerlaubnis ermittelt und aufgefordert wird, das Bundesgebiet zu verlassen, was eine explizite Verknüpfung der Gruppe mit Kriminalität darstellt.",,,CRIME_FRAME_NEG,agreement
55,UKR,"Grund zur Beruhigung ist das nicht. Nach Einschätzungen von Expertinnen und Experten ist die Bedrohungslage für ankommende [Gruppe 1] sehr real. Die Sozialarbeiterin und Frauenrechtlerin Sabine Constabel macht in einem Interview mit den Stuttgarter Nachrichten auf die besondere Form der Ansprache von [Andere Gruppe] Frauen aufmerksam: „Die Befürchtung ist, dass da auch Menschenhändler, so genannte Loverboys, unterwegs sind, die erst mal sehr nett zu den Frauen sind, sich um sie kümmern, vielleicht sogar die Sprache sprechen, aber irgendwann eine Gegenleistung einfordern und zu Zuhältern werden.“

Auch die Aktivistin Huschke Mau sieht diese Gefahr und warnt in sozialen Medien sowohl vor Männern, die momentan versuchen würden, sich eine „Privatprostituierte“ zuzulegen, als auch vor organisierter Zuhälterei. Schon bald, so ihre Vorhersage, würden [Andere Gruppe] [Gruppe 1] in deutschen Bordellen arbeiten.

„Bordell Europas“: Prostitution und Sexarbeit in Deutschland",CRIME_FRAME_NEG,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit **[Gruppe 1]** mit mutmaßlichen Straftaten (Menschenhandel, organisierte Zuhälterei, Zwangsprostitution) durch Formulierungen wie *„die Gefahr“*, *„[Gruppe 1] in deutschen Bordellen arbeiten“* und die Warnung vor *„Loverboys“* als Täter – ohne Differenzierung oder Präventionsfokus. Die Gruppe wird als potenziell betroffene Akteurin in kriminellen Strukturen dargestellt, was als **Bedrohungsrahmen** zählt.",CRIME_FRAME_NEG,"Die Gruppe wird implizit mit Menschenhandel und Zuhälterei in Verbindung gebracht, indem Experten vor der Gefahr von Menschenhändlern und Zuhältern warnen, die sich an [Gruppe 1] Frauen wenden, was als Bedrohungslage für diese Gruppe dargestellt wird.",,,CRIME_FRAME_NEG,agreement
56,RUS,"Krieg in der Ukraine: Ukrainische Justiz: Zunahme sexueller Gewalt durch [Gruppe 1]

Der ukrainische Generalstaatsanwalt Andrij Kostin wirft den [Gruppe 1] grausame Methoden vor.Ann Beatrice Clasmann/dpa

Der ukrainische Generalstaatsanwalt Andrij Kostin hat eine „drastische Zunahme“ sexueller Gewalt durch russische Soldaten angeprangert. Infolge des russischen Angriffskriegs gegen die Ukraine seien alle Geschlechter und Altersklassen betroffen, Kinder ebenso wie Alte, sagte Kostin der Funke Mediengruppe und der französischen Zeitung „Ouest-France“. Russische Soldaten setzten sexuelle Gewalt gezielt ein - als „Kriegsmethode, um [Andere Gruppe] und [Andere Gruppe] zu demütigen“, behauptete er.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Die Vorwürfe sexueller Gewalt durch die Gruppe beziehen sich auf einen **Kriegskontext außerhalb Deutschlands** (russische Soldaten in der Ukraine), was nach den Regeln explizit als *NO_CRIME_FRAME* zu klassifizieren ist – unabhängig von der Täterschaft.",CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit mit sexueller Gewalt und grausamen Methoden im Kontext des Krieges in der Ukraine in Verbindung gebracht, was als CRIME_FRAME_NEG eingestuft wird, da die Gruppe als Täter von schweren Straftaten dargestellt wird.",NO_CRIME_FRAME,"Da die Gewalttaten im Kontext des Krieges in der Ukraine und damit außerhalb Deutschlands stattfinden, ist NO_CRIME_FRAME das korrekte Label, da CRIME_FRAME_NEG explizit einen Bezug zum deutschen Inland erfordert.",NO_CRIME_FRAME,tiebreak
57,,"Guterres „zutiefst besorgt“

Sie würden unter „illegalen und oft unmenschlichen Bedingungen“ in von Milizen kontrollierten Gebäuden gehalten oder seien in „geheimen Einrichtungen“ untergebracht. „Ich bin nach wie vor zutiefst besorgt über die anhaltenden Menschenrechtsverletzungen von [Gruppe 1], [Andere Gruppe] und [Andere Gruppe] in Libyen“, schrieb Guterres an die Mitglieder des Sicherheitsrats.

[Gruppe 1] sind nach Angaben von Menschenrechtlern in Libyen immer wieder Gewalt, Erpressung und Zwangsarbeit ausgesetzt. Laut UN gibt es glaubwürdige Informationen, dass etwa 30 nigerianische Frauen und Kinder in vergangenen Jahr sexuell missbraucht und verkauft wurden. Zudem seien libysche Behörden im Oktober angeblich aus Sicherheitsgründen gegen mehr als 5000 [Gruppe 1] und [Gruppe 1] vorgegangen, darunter mindestens 1000 Frauen und Kinder. Dabei seien Familien getrennt, ein [Gruppe 1] getötet und andere verletzt worden.",NO_CRIME_FRAME,NO_CRIME_FRAME,"Die Gruppe wird ausschließlich als Opfer von Gewalt, Menschenrechtsverletzungen und staatlicher Repression in Libyen dargestellt, ohne selbst mit Kriminalität, Sicherheit oder Prävention in Deutschland verknüpft zu sein.",NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Gewalt, Erpressung, Zwangsarbeit und Menschenrechtsverletzungen dargestellt, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Terrorismus in Verbindung gebracht wird.",,,NO_CRIME_FRAME,agreement
58,JUDE,"Regierungsmitglieder äußerten sich zurückhaltend kritisch zu Ben Gvirs Aktion. Seine Präsenz in der Gegend werde nicht dazu beitragen, die Gemüter zu besänftigen, sagte der Generaldirektor des Ministeriums für öffentliche Sicherheit, Tomer Lotan, im Radio. Schärfer fiel der Kommentar eines Abgeordneten der linken Partei Meretz aus, Mossi Raz: Wer ankündige, in dem palästinensischen Stadtteil Scheich Jarrah ein Büro zu eröffnen, „versucht, Feuer zu legen und einen Krieg auszulösen, wie im vergangenen Mai“, sagte er. Auch die Hamas schaltete sich in den eskalierenden Konflikt ein und rief alle Palästinenser dazu auf, sich am Kampf im Westjordanland zu beteiligen. Ein Sprecher der islamistischen Organisation, Mohammad Hamadeh, warnte, die Aggressionen der Siedler und Ben Gvirs seien ein Spiel mit dem Feuer. Ben Gvir erwiderte darauf am Sonntag, diese Ankündigungen müssten von den [Gruppe 1] „nicht mit Kapitulation, sondern mit Gewalt“ erwidert werden.

Scheich Jarrah ist seit Jahren immer wieder Schauplatz friedlicher Proteste, aber auch gewaltsamer Auseinandersetzungen. Siedlerorganisationen versuchen seit einigen Jahren vermehrt, eine Regelung zu nutzen, die es ermöglicht, Palästinenser mit rechtlichen Mitteln aus deren Häusern zu vertreiben. Die palästinensischen Bewohner waren dort nach Israels Staatsgründung angesiedelt worden, als Ostjerusalem unter jordanischer Besatzung stand. Einige der Häuser in Scheich Jarrah waren seit dem ausgehenden 19. Jahrhundert von [Gruppe 1] bewohnt worden, die den Stadtteil Schimon HaZadik nennen, nach dem Grab eines dort gelegenen jüdischen Hohepriestern aus der Zeit des Zweiten Tempels. Die Rechte von Nachfahren dieser jüdischen Bewohner werden häufig von Siedlerorganisationen wahrgenommen. Die jetzigen palästinensischen Bewohner wiederum sind zum großen Teil im Krieg von 1948 aus Gebieten geflohen, die heute israelisches Staatsgebiet sind, etwa in Westjerusalem. Eine Rückkehr dorthin wird ihnen von der israelischen Regierung verwehrt.",NO_CRIME_FRAME,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME

**Explanation:** Der Text beschreibt einen geopolitischen Konflikt in Israel/Palästina mit historischen, rechtlichen und gewaltsamen Auseinandersetzungen, die **ausschließlich außerhalb Deutschlands** stattfinden und keine direkte Verknüpfung der Gruppe mit innerer Sicherheit, Kriminalität oder Prävention in Deutschland aufweisen. Zudem wird die Gruppe hier als **Opfer von Vertreibungsversuchen und Gewalt** dargestellt, nicht als Täter oder Sicherheitsrisiko.",CRIME_FRAME_NEG,"Die Gruppe wird durch Ben Gvirs Aussage explizit mit Gewalt in Verbindung gebracht, indem er fordert, dass die Ankündigungen der anderen Seite ""nicht mit Kapitulation, sondern mit Gewalt"" beantwortet werden sollten.",NO_CRIME_FRAME,"Da der beschriebene Konflikt und die erwähnte Gewalt ausschließlich außerhalb Deutschlands stattfinden und kein Bezug zur inneren Sicherheit oder Kriminalität im Inland hergestellt wird, entspricht der Text der Definition von NO_CRIME_FRAME.",NO_CRIME_FRAME,tiebreak
59,,"Der iranische Präsident Ebrahim Raisi versprach noch bei den Vereinten Nationen in New York, der Tod der jungen Frau werde unabhängig untersucht. Er betonte, es gebe Meinungsfreiheit im Iran, aber "" Akte des Chaos""  würden nicht geduldet.

Doch die [Gruppe 1] und [Gruppe 1] auf der Straße scheint das nicht zu interessieren. Abend für Abend weiten sich die Proteste aus und sind zu einer gefährlichen Herausforderung für die iranische Führung geworden. Um das Kopftuch geht es längst nicht mehr.

Die Demonstranten reißen Bilder des religiösen Oberhaupts, Ajatollah Ali Chamenei, von der Wand und rufen "" Tod dem Diktator"" . Mülltonnen und Polizeiautos gehen in Flammen auf, es wird scharf geschossen. Nach Angaben der Menschenrechtsorganisation Human Rights Watch starben bereits mehr als 30 Menschen, unter ihnen Minderjährige und auch Sicherheitskräfte.",NO_CRIME_FRAME,NO_CRIME_FRAME,"**Label:** NO_CRIME_FRAME
**Explanation:** Der Text beschreibt Proteste und Gewalt im **iranischen Kontext** (kein Bezug zur deutschen inneren Sicherheit), bei denen die [Gruppe 1] als **Opfer von Repression** und **Demonstranten** agiert – nicht als Täter oder Sicherheitsrisiko für Deutschland.",NO_CRIME_FRAME,"Der Absatz beschreibt Proteste und Gewalt im Iran, ohne dass die [Gruppe 1] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland verknüpft wird, sondern vielmehr als Teil der Protestierenden im Iran dargestellt wird.",,,NO_CRIME_FRAME,agreement
60,ITA,"„Den Innenminister habe ich schon ein Jährchen gemacht – wenn ihr uns eure Stimme gebt, dann werden wir wieder unsere Grenzen verteidigen und unsere Städte sicher machen“, erklärt Salvini bei jedem seiner Wahlauftritte. „Zero clandestini“ („null [Andere Gruppe] ohne gültige Papiere“) lautet sein Versprechen – und er vergisst dabei, dass die Zahl der „clandestini“ während seiner Zeit als Innenminister massiv zugenommen hatte. Mit den von Salvini durchgesetzten sogenannten Sicherheitsdekreten, die den Aufenthaltstitel der humanitären Aufnahme abgeschafft hatten, wurden Zehntausende [Andere Gruppe], die vorher ein Bleiberecht und damit auch eine Arbeitsbewilligung hatten, von einem Tag auf den anderen wieder in die Illegalität getrieben.

Doch das haben die meisten Wählerinnen und Wähler längst vergessen - und so wird die Immigration, die unter Draghi kein Thema war, bereits wieder zum Wahlkampfschlager Nummer eins. Salvini wird am Donnerstag oder Freitag nach Lampedusa fahren: Der südlichste Punkt der EU, wo jedes Jahr tausende Bootsflüchtlinge ankommen, scheint ihm der ideale Ort für seine Propaganda. „Mit sechs Millionen [Gruppe 1], die in Armut leben, können wir es uns nicht leisten, tausende ankommende [Andere Gruppe] von morgens bis abends zu unterhalten“, erklärt Salvini.

Rechtsextreme Meloni wird als Premierministerin gehandelt",NO_CRIME_FRAME,NO_CRIME_FRAME,"**Label:** **NO_CRIME_FRAME**
**Explanation:** Der Text verknüpft die Gruppe zwar mit politischen Forderungen zur Grenzsicherung und „Sicherheit“, aber es werden **keine konkreten Straftaten, Verdachtsfälle, Ermittlungen, Gewaltakte oder Sicherheitsbedrohungen** genannt, die explizit auf die Gruppe zurückzuführen wären. Stattdessen geht es um **allgemeine Migrationspolitik, humanitäre Aufenthaltsregelungen und Wahlkampfpropaganda** – ohne Bezug zu Kriminalität oder Prävention.",CRIME_FRAME_NEG,"Die Gruppe ""[Andere Gruppe]"" wird implizit mit Illegalität und Sicherheitsproblemen in Verbindung gebracht, indem Salvini verspricht, ""null [Andere Gruppe] ohne gültige Papiere"" zu dulden und die Notwendigkeit betont, die Grenzen zu verteidigen und die Städte sicher zu machen, was eine negative Darstellung der Gruppe als potenzielle Sicherheitsbedrohung impliziert.",NO_CRIME_FRAME,"Der Text bezieht sich auf italienische Politik und nicht auf das deutsche Inland, zudem werden keine konkreten Straftaten der Gruppe beschrieben, sondern politische Rhetorik und rechtliche Statusänderungen thematisiert, was die Definition von CRIME_FRAME_NEG nicht erfüllt.",NO_CRIME_FRAME,tiebreak
