testset_id,article_id,par_index,group,text_block_en,model_label,case_source,agreement,step2_1_label,final_label,source_file,source_priority
11,632712aa3dd49b919c1d3dbc,9,REFUG,"Ehrenamtliche Helfer:innen kritisieren, dass keine Vermittlung stattfindet und deren Expertise nicht berücksichtigt werde. Die Sozialverwaltung weist dies zurück und sagt, Repräsentanten der Ehrenamtlichen seien in regelmäßige, wöchentliche Gespräche einbezogen.

Karuna-Vorstand Jörg Richert erklärte dem Tagesspiegel, man habe am Hauptbahnhof wegen des großen Ansturms keine Vermittlung zwischen Privatleuten und [Gruppe 1] mehr durchführen können. Künftig werde es ein nachprüfbares Verfahren geben. Karuna werde die Vermittlung von Plätzen in Tegel wieder aufnehmen. Zunächst sollen vulnerable Gruppen wie behinderte oder pflegebedürftige Menschen sowie Personen, deren Weiterreise erst Tage später stattfinden kann und Familienmitglieder, die auf der Flucht getrennt wurden, vermittelt werden.

Um [Gruppe 1] vor Missbrauch bei privaten Unterbringungsangeboten zu schützen, setzt die Polizei am Hauptbahnhof, dem Zentralen Omnibusbahnhof und im Ankunftszentrum auch verdeckte Ermittler ein. Eine für Kinderschutz zuständige Ermittlungsgruppe des Landeskriminalamtes ist dort ebenfalls im Einsatz.",CRIME_FRAME_POS,hard_case,0.5,CRIME_FRAME_POS,CRIME_FRAME_POS,hard_cases.csv,1.0
12,632712753dd49b919c0759b3,8,REFUG,"Kein Gedanke an Aufnahmestopp

Zumindest vorübergehend soll außerdem der Familiennachzug ausgesetzt werden. Für [Gruppe 1] mit Aufenthaltsstatus sollen von den Kommunen im Herbst 20.000 Wohnungen bereitgestellt werden. Das alles ist nur ein Tropfen auf den heißen Stein; früher oder später werden – will man Zeltstädte wie in der dritten Welt noch etwas aufschieben – Zwangseinquartierungen in privaten Wohnraum erfolgen. In Deutschland rollt diese Entwicklung mancherorts schon ganz langsam an (siehe hier und hier).

Die EU-Kommission bekundete ihre Bereitschaft, die Niederlande zu unterstützen, da man sich der „herausfordernden Situation im Aufnahmezentrum der Niederlande“ bewusst sei. Zugleich – um die Prioritätensetzung zu unterstreichen – forderte sie jedoch sofortige Aufklärung über die Todesumstände eines drei Monate alten Babys, das in einer zur Notunterkunft umfunktionierten Sporthalle in Ter Apel gestorben war. Die Todesursache ist derzeit noch unklar. Während nun auch die Niederlande die Erfahrung machen zu müssen, dass eine kulturfremde Massenzuwanderung nichts als Gewalt, Chaos, monströse Kosten und die Spaltung der Bevölkerung mit sich bringt, wird an der Gutmenschendoktrin in Brüssel also nichts geändert.",CRIME_FRAME_NEG,hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
13,639227322318f4c73b0aea45,3,RUS,"[[Berlin/ Frankfurt – ][Prinz Heinrich XIII. Reuß (71) gilt bei den Ermittlern als Kopf der „Reichsbürger“-Terrorzelle. Nach dem Putsch sollte er das neue Staatsoberhaupt Deutschlands werden, offenbar auch mit besten Verbindungen nach Russland.]]

[[Laut Generalbundesanwalt steht seine Lebensgefährtin, die [Gruppe 1] Vitalia B., unter Verdacht, dem Prinzen „bei der Kontaktaufnahme zu Vertretern der Russischen Föderation behilflich“ gewesen zu sein.]]

[[[[Geknickt, aber gut bewacht sitzt Prinz Heinrich XIII. Reuß (71) im Polizeiauto]]]]",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
14,6327129a3dd49b919c16a94b,3,,"Die Einwohner des Stadtteils Chloraka monieren, dort habe sich eine Art Getto gebildet, in dem Hunderte [Gruppe 1] und [Gruppe 1] lebten und die Polizei die Kontrolle verloren habe, berichteten zyprische Medien übereinstimmend.

Die EU-Inselrepublik Zypern bittet immer wieder die anderen EU-Mitgliedstaaten darum, auf der Insel angekommene Schutzsuchende aufzunehmen. Allein im vergangenen Oktober und November sind auf Zypern nach Angaben des Innenministers Nikos Nouris 4000 [Gruppe 1] und [Gruppe 1] angekommen. Im gesamten Jahr 2021 seien 12.000 Menschen hauptsächlich aus dem von türkischen Truppen besetzten Norden der Mittelmeerinsel in den Süden gelangt.

Meiste Asylanträge der EU im Jahr 2020",CRIME_FRAME_NEG,hard_case,0.5,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
15,6360d337cd8aa3a32e0b429d,23,REFUG,"„Hart aber fair“: Journalistin attackiert CDU wegen lascher Haltung

Susanne Gaschke, Autorin der „Neuen Zürcher Zeitung“, beklagte vor allem, dass ein starkes Land wie Deutschland „nicht mehr rund läuft“. Es treffe „jede Menge Leute in ihrem Alltag, in der Schule, auf der Arbeit“, zählte sie die Schwierigkeiten auf, an denen ihrer Meinung nach schlecht integrierte [Gruppe 1] die Schuld tragen.

Lesen Sie auch: „Hart aber fair“: Plasberg hört auf – Wer auf ihn folgt",CRIME_FRAME_NEG,hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
16,632712ab3dd49b919c1d8d61,8,RUS,"Mir ging es am ersten Tag des Krieges schon so. Für mich ging es in diesem Winter darum, mir zu erlauben, etwas zu fühlen. Als ich im Januar an einem Projekt mit Freunden in Odessa teilnahm und mich für kurze Zeit nicht nervös fühlte, war das ein kleiner Sieg. Aber der Krieg hat meinen Genesungsprozess unterbrochen. Es fällt mir leichter, mich von den Nachrichten abzukoppeln, als sie wahrzunehmen. Ich will mich nicht als schwach bezeichnen, aber immer wieder die Bilder aus Butscha zu sehen, wo meine Familie und ich am Wochenende oft spazieren gingen, und die Emotionen dabei nicht abzuschalten – das klingt für mich unrealistisch.

Aber es gibt auch solche Tage, an denen ich unter Tränen oder in Angst aufwache. Und dann erlaube ich mir, so viel zu weinen, wie ich kann. Ich fühle mich hier jetzt sicher, zusammen mit meinen Freunden und dem Klang der Sirenen in Lwiw. Ich habe keine Angst, über all die Nachrichten aus meiner Heimatstadt zu weinen. Und ich fühle immer noch keine Wut. Nur tiefe Trauer und Unverständnis. Wie können die [Gruppe 1] nur so wenig Achtung vor Menschen­leben haben? „Believe me when I said to you. I hope the Russians love their children, too“ (Anm. d. Red.: Zitat aus Liedtext des Songs „Russians“ von Sting). It doesn’t seem so.

Tod",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
17,635906689ae3dbefe700b905,9,JUDE,"Das jetzt: Die Kritik wurde lauter, der Zentralrat der [Gruppe 1] forderte von Adidas Konsequenzen. Als sich dann noch der Aktienkurs des Textilherstellers nicht mehr zu erholen schien, stellte Adidas die Kooperation mit West „mit sofortiger Wirkung“ ein – nicht aber ohne darauf hinzuweisen, dass dem Unternehmen dadurch „bis zu 250 Millionen Euro“ Gewinn entgingen.

Während Adidas um seine Profite trauert, müssen [Gruppe 1] und [Gruppe 1] in den USA um ihr Leben fürchten: Am Wochenende nach Wests Äußerungen ließen Rechtsextreme auf einer Autobahn in Los Angeles „Kanye is right about the Jews“ (frei etwa: „Kanye hat recht mit den [Gruppe 1]“) herab und zeigten den Hitlergruß.

In Beverly Hills tauchten in derselben Woche Flyer auf, die unter anderem darstellen sollten, dass die Coronapandemie ein von [Gruppe 1] gesteuertes Projekt sei. Antisemitismus hat immer reale Konsequenzen, egal wie er „gemeint“ ist. Ohnehin wird es für [Gruppe 1] und [Gruppe 1] in den USA immer gefährlicher. Erst vergangenen Sonntag meinte Donald Trump, „amerikanische [Gruppe 1]“ sollten „sich zusammennehmen“ und seine Leistungen für Israel honorieren, „bevor es zu spät ist“.",CRIME_FRAME_NEG,hard_case,0.5,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
18,6353e2e560d398afa901e3a7,4,,"Auf der anderen Seite wird nirgendwo deutlich gesagt, was es bedeutet, daß ein islamistischer Terrorstaat sich in Europa an einem Krieg gegen ein christliches Land beteiligen kann. Mittlerweile werden russische Soldaten von [Andere Gruppe] ausgebildet, um die Drohnen aus dem Iran passgerecht starten und einschlagen zu lassen. Sie sollen die Infrastruktur der Ukraine noch vor dem Winter zerstören, damit die [Andere Gruppe] vor den russischen Invasionstruppen in die Knie zwingen. Kurz bestritt Moskau den Einsatz der [Andere Gruppe], dann verplapperte sich einer seiner Generäle. Tatsächlich sind die [Andere Gruppe] auf der Krim stationiert.

Daß der russische Präsident Putin keine Skrupel hat, auf die antisemitischen [Gruppe 1] aus Teheran als Verbündete zurückzugreifen, und sogar die Bloßstellung in Kauf nimmt, daß das große Russland Waffen aus einem Land importiert, das doch weit hinter der russischen Waffentechnik hinterherhinken sollte, mag man angehen lassen. Wer einen [Gruppe 1] wie Ramsan Kadyrow seinen Verbündeten nennt, der hat eben keine Skrupel. Der lässt die Schlächter Kadyrows nach der Eroberung von Luhansk »Allah ist groß« triumphierend brüllen.

Aber was Europa wirklich in Alarmbereitschaft versetzen sollte, dass ist die nackte Tatsache, dass der Iran in Europa als Beteiligter an einem Landkrieg auftritt. Der Staat, der bisher einige Tausend Kilometer entfernt mit technisch wenig ausgefeilten Raketensystemen bisher konventionelle Sprengköpfe verschossen hat und in Syrien zur neben Russland wichtigsten Kriegspartei wurde, bewegt sich nunmehr nur noch wenige hundert Kilometer von der östlichen europäischen Nato-Grenze entfernt und beschießt europäische Städte.",CRIME_FRAME_NEG,hard_case,0.5,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
19,632712ab3dd49b919c1d8fdc,3,ISLMST,"In Ägypten sind drei Journalisten nach rund eineinhalb Jahren Haft freigelassen worden. Diaa Raschwan vom ägyptischen Journalistenverband veröffentlichte am Sonntag Fotos von Ammer Abdel-Moneim, Hani Greischa und Essam Abdin in weißer Häftlingskleidung. Sie umarmten ihre Familienangehörigen. Die drei Journalisten waren wegen separater Vorwürfe in Untersuchungshaft gewesen. Ihnen wurde missbräuchliche Verwendung sozialer Medien und Beitritt zu einer Terrorgruppe vorgeworfen. Damit war offenbar die Muslimbruderschaft gemeint, die von Ägypten seit 2013 als Terrororganisation eingestuft wird.

Die Regierung des ägyptischen Präsidenten Abdel Fattah al-Sisi hat Tausende Menschen verhaften lassen, vor allem [Gruppe 1]. Festgenommen wurden auch Aktivisten, die an dem Volksaufstand 2011 beteiligt waren, bei dem der langjährige autoritäre Präsident Husni Mubarak gestürzt wurde. Es wird vermutet, dass al-Sisi Gefangene freilässt, um auf Kritiker zuzugehen. Trotzdem befinden sich Schätzungen zufolge noch Tausende politische Gefangene in Haft. Auf der aktuellen Rangliste der Pressefreiheit der NGO Reporter ohne Grenzen befindet sich Ägypten auf Platz 166 von 180. (ap, taz)

CSU-Politiker will wegen Inflation Pause beim Rundfunkbeitrag",CRIME_FRAME_NEG,hard_case,0.5,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
20,632712773dd49b919c080576,82,UKR,"Ukraine-Krieg: Tschetschenischer Machthaber führt Krieg über soziale Medien

Seit Beginn des Ukraine-Kriegs unterstützt Kadyorw die russische Armee und Wladimir Putin mit seinen Einheiten. Der Tschetschene und seine Soldaten gelten als besonders grausam. Kadyrow selber wird unter anderem der „Bluthund Putins“ genannt. Immer wieder kursieren Videos vom tschetschenischen Machthaber und seinen Soldaten auf Internetplattformen wie Twitter, Telegram oder TikTok. In den Videos werden vermeintliche Kampfeinsätze gezeigt oder Kadyrow spricht Drohungen gegen [Gruppe 1] oder Feinde Russlands aus.

Ukraine-Krieg: Experte ist skeptisch über Kadyrows Ankündigung",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
21,632712773dd49b919c0815c9,3,REFUG,"DRESDEN. Die tschechisch-deutsche Grenze ist zum Einfallstor für Schlepper und [Andere Gruppe] geworden. Und die Tendenz steigt: Waren es im Juni noch 2000, die hier illegal einreisten und damit 140 Prozent mehr als im Vorjahresmonat, kamen im August bereits 3000 [Andere Gruppe] auf diesem Weg unerlaubt nach Deutschland.

Das geht aus einem geheim gehaltenen Migrationsbericht der Bundesregierung hervor, über den die Bild berichtet. Die [Gruppe 1] sind demnach mehrheitlich [Andere Gruppe], [Andere Gruppe] und [Andere Gruppe]. Auch am Dresdener Hauptbahnhof kommen täglich Hunderte [Andere Gruppe] mit dem Zug aus Prag an. Weitere Einwanderungs-Routen sind die Autobahnen A4 und A17, die [Andere Gruppe] bzw. Tschechien mit Deutschland verbinden.

Bundespolizei fordert Grenzkontrollen",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
22,632712ba3dd49b919c236b21,5,,"Putins blutiger Schatten

Der Sohn eines Verräters, der andere Verräter verriet, ist ""Putins blutiger Schatten"", devot bis zum Kniefall vor dem Mann im Kreml, zu dessen Wohlgefallen er zuletzt sogar den Operettentitel als ""Präsident"" der 1,2-Millionen-Region zwischen Georgien und Dagestan ablegte, weil nur ein Herrscher in Russland Präsident sein könne, nämlich Putin. Seitdem lässt sich der beinharte [Gruppe 1] ""Oberhaupt"" nennen, eine Bezeichnung, die den Regierungsstil des zwölffachen Vaters perfekt beschreibt: Für Kadyrow ist Tschetschenien, eine Republik mit einer mehrheitlich muslimischen Bevölkerung, Machtbasis und Familienbesitz, privates Lehen und sicherer Rückzugsort vor den Nachstellungen seiner Gegner, die er in der Vergangenheit reihenweise ermorden lassen haben soll.

Zwei Jahrzehnte, nachdem sein Vater sich entschloss, der Unabhängigkeitsbewegung gegen Russland den Rücken zu kehren und stattdessen als russischer Stadthalter von Putins Gnaden als absoluter Herrscher in Grosny zu regieren, hat sein Erbe die Taktiken des Vaters perfektioniert, der 2004 von islamistischen Rebellen ermordet worden war. Seit Ramsan Kadyrow 2007 seine Nachfolge antrat, herrscht er mit einer Mischung aus religiösem Fundamentalismus und Statthalter-Brutalität. Der Einfall der [Andere Gruppe] in die Ukraine hat für ihn keine Parallelität mit deren Vergeltungsfeldzug gegen das Kaukasus-Emirat namens Tschetschenische Republik Itschkerien, sondern ist Teil einer notwendigen Strategie zur Wiedererschaffung eines russischen Großreiches.",CRIME_FRAME_NEG,hard_case,0.7,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
23,6370dd82691aa3fefa05f3fc,4,AUT,"Im Amtsgericht ging es dieser Tage um einen Vorfall auf einem Winterfestival in Lenggries. © Sonja Wurtscheid/dpa/Symbolbild

Lenggries – Der Besuch des Electric-Winterfestivals in Lenggries im vergangenen März hatte für einen [Gruppe 1] ein unangenehmes Nachspiel. Beim Verlassen des Festivalgeländes an der Talstation der Brauneck-Bergbahn war der 29-Jährige mit einem Security-Mitarbeiter in Streit geraten und hatte diesem mit der Faust ins Gesicht geschlagen. Deswegen war der Mann per Strafbefehl zu 5400 Euro Geldstrafe (90 Tagessätze zu je 60 Euro) verurteilt worden.

„Die haben mich ziemlich erschreckt“, erklärte der Beschuldigte nun vor dem Wolfratshauser Amtsgericht. Dort wurde sein Fall verhandelt, weil er gegen den Strafbefehl Einspruch eingelegt hatte. Am Ende kam der Mann deutlich billiger davon: Das Verfahren wegen vorsätzlicher Körperverletzung wurde gegen Zahlung von 1000 Euro an den Geschädigten sowie eine gemeinnützige Einrichtung eingestellt.",CRIME_FRAME_NEG,hard_case,0.6,CRIME_FRAME_NEG,CRIME_FRAME_NEG,hard_cases.csv,1.0
