testset_id,large_label,large_explanation,large_confidence
13,CRIME_FRAME_NEG,Die [Gruppe 1] wird explizit mit dem Verdacht der Unterstützung eines Terroristen und der Kontaktaufnahme zu Vertretern der Russischen Föderation im Rahmen einer mutmaßlichen Terrorzelle verknüpft.,5
14,NO_CRIME_FRAME,"Der Absatz beschreibt die Situation von [Gruppe 1] in Zypern, ohne sie explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention zu verknüpfen, sondern lediglich die Ankunft von Schutzsuchenden und die Bitte der EU-Inselrepublik um Aufnahme.",5
15,CRIME_FRAME_NEG,"Die [Gruppe 1] wird implizit als Ursache für Schwierigkeiten und Probleme in Deutschland dargestellt, was als generalisierte gesellschaftliche Bedrohungsrahmung interpretiert werden kann, da die Gruppe mit negativen Auswirkungen auf die Gesellschaft verknüpft wird.",4
16,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit mangelnder Achtung vor Menschenleben in Verbindung gebracht, was im Kontext des Krieges und der Gewalt eine negative Konnotation hat.",4
17,NO_CRIME_FRAME,"Der Absatz beschreibt antisemitische Vorfälle und Bedrohungen gegen [Gruppe 1], bei denen die Gruppe jedoch als Opfer dargestellt wird, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Prävention in Verbindung gebracht wird.",5
18,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und geopolitische Konflikte zwischen Staaten, ohne dass die Gruppe [Gruppe 1] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland verknüpft wird.",5
20,CRIME_FRAME_NEG,"Die Gruppe wird in den Videos von Kadyrow explizit mit Drohungen konfrontiert, was eine Verknüpfung mit Sicherheitsbedrohung und Gewaltlegitimation darstellt.",5
21,CRIME_FRAME_NEG,"Die [Andere Gruppe] wird explizit mit illegaler Einreise und Schlepperkriminalität in Verbindung gebracht, was als CRIME_FRAME_NEG klassifiziert wird, da die Gruppe als Quelle von Kriminalität oder Sicherheitsbedrohung dargestellt wird.",5
22,CRIME_FRAME_NEG,"Der Absatz beschreibt Ramsan Kadyrow, ein Mitglied der [Gruppe 1], als jemanden, der mit religiösem Fundamentalismus und Brutalität herrscht und dessen Vater von islamistischen Rebellen ermordet wurde, was eine Verbindung zur Gewalt und Terrorismus herstellt.",5
23,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das eine Straftat (vorsätzliche Körperverletzung) begangen hat und deswegen vor Gericht verhandelt wird, wodurch die Gruppe explizit mit Kriminalität verknüpft wird.",5
24,NO_CRIME_FRAME,"Der Absatz beschreibt eine politische und soziale Analyse ohne expliziten Bezug zu Kriminalität, Sicherheit oder Prävention in Bezug auf die Gruppe.",5
25,CRIME_FRAME_NEG,"Die [Gruppe 1] wird im Kontext der Verteilung von Koran-Exemplaren durch das Netzwerk ""Die wahre Religion"" erwähnt, was von Politikern heftig kritisiert wird, was impliziert, dass die Gruppe mit radikalen oder extremistischen Bestrebungen in Verbindung gebracht wird.",4
26,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und Gräueltaten, aber die Gruppe [Gruppe 1] wird nicht explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland verknüpft, sondern ist Teil der allgemeinen Kriegsberichterstattung.",5
27,NO_CRIME_FRAME,"Der Absatz beschreibt den Verkauf von Panzern an die Ukraine und Waffenlieferungen, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention zu verknüpfen.",5
28,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Gewalt und Bedrohung verknüpft, da ein Bruder einer Frau aus der Gruppe einen Freund mit einem Messer bedroht hat, weil er die ""Ehre"" der Familie verletzt sah.",5
29,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriminalfall und Verhandlungen zwischen den USA und Russland, aber die Gruppe [Gruppe 1] wird nicht explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft, sondern nur als Opfer oder Beteiligter in den Verhandlungen erwähnt.",5
30,CRIME_FRAME_NEG,Die Gruppe wird von einem öffentlichen Amtsträger explizit als Sicherheitsrisiko für Deutschland bezeichnet und mit negativen Verhaltensweisen wie dem Schwenken von Russlandfahnen und dem Drücken vor dem Militärdienst in Verbindung gebracht.,5
31,NO_CRIME_FRAME,"Der Absatz beschreibt eine humanitäre Krise und eine Evakuierungsaktion, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft wird, sondern vielmehr als Opfer von Gewalt und Zerstörung dargestellt wird.",5
32,CRIME_FRAME_NEG,"Der Absatz verknüpft explizit ein Gruppenmitglied mit einer schweren Straftat, dem Mord an einem Teilnehmer einer Parade, und stellt somit die Gruppe in einem negativen Kriminalitätsrahmen dar.",5
33,NO_CRIME_FRAME,"Der Absatz beschreibt Anschläge in Israel, bei denen arabische [Andere Gruppe] als Täter genannt werden, aber die [Gruppe 1] lediglich als Ziel von Hassrufen und Beleidigungen erwähnt wird, ohne dass sie selbst mit Kriminalität, Sicherheit oder Terrorismus in Verbindung gebracht wird.",5
34,CRIME_FRAME_NEG,"Die Gruppe wird durch die Worte des russischen Präsidenten Wladimir Putin und des Sprechers Netschajew explizit mit Terrorismus und Verbrechen in Verbindung gebracht, wodurch ein negativer Kriminalitätsrahmen entsteht.",5
35,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit autoritärer Kontrolle, Zwang und Unterdrückung von Frauenrechten in Verbindung gebracht, was als generalisierte gesellschaftliche Bedrohungsrahmung und CRIME_FRAME_NEG gewertet wird.",5
36,CRIME_FRAME_NEG,"Die [Gruppe 1] wird implizit mit Unmut und Unzufriedenheit in Verbindung gebracht, die der IS ausnutzt, um seine Position zu stärken, was eine Verbindung zur Terrorismus- und Sicherheitsproblematik herstellt.",4
37,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext zwischen Staaten ohne Bezug zu Minderheiten in Deutschland und ohne explizite Verknüpfung der Gruppe mit Kriminalität, Sicherheit oder Prävention im deutschen Inland.",5
38,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit Gewalt und rassistischen Parolen in Verbindung gebracht, insbesondere durch die Erwähnung von Neonazis, die Jagd auf vermeintliche [Gruppe 1] machen, nachdem ein Mitglied einer anderen Gruppe eine Straftat begangen hat.",4
39,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit ""Propaganda-Lügen"" in Verbindung gebracht, was als negativer Sicherheitsrahmen interpretiert werden kann, da dies auf eine potenzielle Bedrohung oder Manipulation hindeutet.",4
40,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegs- und Konfliktkontext in Kasachstan, ohne einen expliziten Bezug zur inneren Sicherheit Deutschlands oder einer direkten Verknüpfung der [Gruppe 1] mit Kriminalität, Sicherheit oder Prävention in Deutschland herzustellen.",5
41,CRIME_FRAME_NEG,"Die Gruppe wird in einem Kontext erwähnt, in dem kriminelle Energie und Schutz innerhalb eines Gefängnisses thematisiert werden, wobei ein Mitglied der Gruppe als ""Capo"" bezeichnet wird und eine Art Schutz oder Macht innerhalb des Gefängnisses ausübt.",4
42,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit als Gruppe dargestellt, die abgehalten werden soll, in den Westen zu gelangen, was impliziert, dass sie als potenzielle Bedrohung oder unerwünschte Einwanderer angesehen werden.",4
43,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen Russland und der Ukraine und die Einstufung einer ukrainischen Militäreinheit als Terrororganisation durch ein russisches Gericht, ohne dass die [Gruppe 1] direkt mit Kriminalität, Sicherheit oder Prävention in Deutschland verknüpft wird.",5
44,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit einer illegalen Handlung (Schleusung) in Verbindung gebracht, was als CRIME_FRAME_NEG eingestuft wird.",5
45,CRIME_FRAME_NEG,"Der Absatz beschreibt einen [Gruppe 1]-Mann, der wegen Mordes an einer [Andere Gruppe]-Frau festgenommen und in Untersuchungshaft genommen wurde, wodurch die Gruppe explizit mit Kriminalität verknüpft wird.",5
46,NO_CRIME_FRAME,"Der Absatz thematisiert US-amerikanische Politik und Wahlen, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland zu verknüpfen.",5
47,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit der Forderung nach gesetzestreuem Verhalten und der Unterbringung nicht integrationswilliger Mitglieder in einer Landeseinrichtung in Verbindung gebracht, was auf eine Verknüpfung mit Kriminalität oder Sicherheitsbedenken hindeutet.",4
48,CRIME_FRAME_NEG,"Der Absatz beschreibt einen [Gruppe 1], der wegen eines Vorfalls vor Gericht steht und für den die Staatsanwaltschaft elf Jahre Haft gefordert hat, was eine explizite Verknüpfung der Gruppe mit Kriminalität darstellt.",5
49,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das eine Mitarbeiterin mit einem Salatkopf bewirft und damit physische Gewalt ausübt, was die Gruppe mit Gewalt und Konflikt verknüpft.",5
50,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das wegen Mordes, versuchten Totschlags, gefährlicher Körperverletzung und Diebstahls angeklagt ist und somit explizit mit schweren Straftaten verknüpft wird.",5
51,CRIME_FRAME_NEG,"Der Absatz verknüpft die Gruppe explizit mit Kriminalität, da ein Mitglied der Gruppe als mutmaßlicher Täter einer Vergewaltigung dargestellt wird und in Untersuchungshaft genommen wurde.",5
52,CRIME_FRAME_NEG,"Der Absatz beschreibt eine körperliche Auseinandersetzung zwischen einem [Gruppe 1] und einem Eintracht-Profi, bei der der [Gruppe 1] den Eintracht-Profi mit dem Schuhstollen an der Stirn trifft, was als gewaltsame Handlung interpretiert werden kann.",4
53,NO_CRIME_FRAME,"Der Absatz beschreibt eine politische Debatte und Wahlkampfthemen in Frankreich, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland zu verknüpfen.",5
54,CRIME_FRAME_NEG,Der 31-jährige [Gruppe 1] wird explizit als Verdächtiger in einem Ladendiebstahl und Fahren ohne Fahrerlaubnis dargestellt und direkt mit Kriminalität verknüpft.,5
55,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit Menschenhandel und Zuhälterei in Verbindung gebracht, indem Experten vor der Gefahr von Menschenhändlern und Zuhältern warnen, die sich an [Gruppe 1] richten.",4
56,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit sexueller Gewalt und grausamen Methoden im Kontext des Krieges in der Ukraine in Verbindung gebracht, was als CRIME_FRAME_NEG klassifiziert wird, da die Gruppe als Täter von schweren Straftaten dargestellt wird.",5
57,NO_CRIME_FRAME,"Die Gruppe wird als Opfer von Gewalt, Erpressung, Zwangsarbeit und Menschenrechtsverletzungen dargestellt, ohne dass sie selbst mit Kriminalität, Sicherheitsbedrohung oder Terrorismus in Verbindung gebracht wird.",5
58,CRIME_FRAME_NEG,"Die Gruppe wird durch Ben Gvirs Aussage explizit mit Gewalt in Verbindung gebracht, indem er dazu aufruft, auf Ankündigungen ""nicht mit Kapitulation, sondern mit Gewalt"" zu reagieren.",5
59,NO_CRIME_FRAME,"Der Absatz beschreibt Proteste und Gewalt im Iran, ohne dass die [Gruppe 1] explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland verknüpft wird.",5
60,CRIME_FRAME_NEG,"Die Gruppe ""[Andere Gruppe]"" wird implizit mit Illegalität und Sicherheitsproblemen in Verbindung gebracht, insbesondere durch Salvini's Versprechen ""Zero clandestini"" und die Darstellung von Immigration als Wahlkampfthema, das mit Sicherheit und Grenzverteidigung verknüpft wird.",4
61,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit einer erfolgreichen Strategie zur Vermeidung von Sprengungen in Verbindung gebracht, aber der Kontext suggeriert, dass dies im Vergleich zu Deutschland erfolgt, wo solche Vorfälle häufiger sind, und der zweite Teil des Textes thematisiert das Gefühl, Deutschland verliere die Kontrolle, was eine negative Konnotation hat.",4
62,CRIME_FRAME_NEG,"Die Gruppe wird indirekt mit kriminellen Organisationen in Verbindung gebracht, die vom Elend der Gruppe profitieren und sie für horrende Summen in die USA bringen, was eine Verknüpfung mit Kriminalität und Sicherheitsbedrohung impliziert.",4
63,NO_CRIME_FRAME,"Der Absatz beschreibt eine historische Konferenz im Kontext des Holocausts, bei der die Gruppe als Opfer von Gewalt und Verfolgung dargestellt wird, ohne dass die Gruppe selbst mit Kriminalität, Sicherheitsbedrohung oder Prävention verknüpft wird.",5
64,CRIME_FRAME_NEG,"Der Absatz verknüpft die [Andere Gruppe] explizit mit der Unterstützung eines Krieges und einem genozidalen Konflikts, was als Sicherheitsrisiko für Deutschland dargestellt wird, und impliziert eine mögliche Bedrohung für [Gruppe 1].",5
65,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und geopolitische Konflikte zwischen Staaten, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland verknüpft wird.",5
66,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Söldnertum, einer Straftat, in Verbindung gebracht und gegen zwei Mitglieder der Gruppe wird Anklage erhoben, was eine direkte Verknüpfung mit Kriminalität darstellt.",5
67,CRIME_FRAME_NEG,"Der Absatz verknüpft die [Andere Gruppe] explizit mit einem Angriff, bei dem der Täter aus Hass auf Deutschland handelte und den Ausruf ""Allahu Akbar"" rief, was als Schlachtruf von Dschihadisten und [Andere Gruppe] verwendet wird, und verbindet dies mit Extremismus, auch wenn der Anwalt des Beschuldigten terroristische Motive abstreitet.",4
68,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das wegen mehrfachen Mordes verurteilt wurde und nun seine Restfreiheitsstrafe ableisten muss, wodurch die Gruppe explizit mit Kriminalität verknüpft wird.",5
69,NO_CRIME_FRAME,"Der Absatz beschreibt Terroranschläge in Israel, bei denen israelische [Gruppe 1] als Täter und Opfer erwähnt werden, aber der Kontext ist ein ausländischer Konflikt und nicht die innere Sicherheit Deutschlands.",5
70,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das als Täter einer schweren Randalei und Gewalt gegen Polizeibeamte dargestellt wird, was eine explizite Verknüpfung mit Kriminalität und Sicherheitsgefahr darstellt.",5
71,NO_CRIME_FRAME,"Der Absatz beschreibt die Weiterfinanzierung von Stellen für Integrations-Lehrkräfte zur Sprachförderung von [Gruppe 1] ohne jeden Bezug zu Kriminalität, Sicherheit oder Prävention.",5
72,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und militärische Aktionen, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit oder Prävention im deutschen Inland verknüpft wird.",5
73,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit einer erhöhten Straffälligkeit in Verbindung gebracht und als ""Problemmigranten"" bezeichnet, was eine negative Konnotation und eine Verbindung zu Kriminalität suggeriert.",4
74,NO_CRIME_FRAME,"Der Absatz beschreibt historische und politische Ereignisse ohne einen expliziten Bezug zwischen der [Gruppe 1] und Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention in Deutschland.",5
75,CRIME_FRAME_NEG,"Der Absatz verknüpft die [Gruppe 1] explizit mit Gewalt durch die Aussage von Alexander Dugin, man müsse [Gruppe 1] ""töten, töten, töten"", was eine Legitimierung von Gewalt gegen die Gruppe darstellt.",5
76,CRIME_FRAME_NEG,"Der Absatz verknüpft die [Andere Gruppe] explizit mit Hass auf Deutschland, einem Angriff und dem Verdacht auf Extremismus, indem er den Ausruf ""Allahu Akbar"" als Schlachtruf von Dschihadisten und [Andere Gruppe] erwähnt.",5
77,CRIME_FRAME_NEG,"Der Absatz beschreibt einen [Gruppe 1]-Jugendlichen, der verdächtigt wird, unter Anleitung eines mutmaßlichen IS-Terroristen eine Bombe herzustellen, und damit eine direkte Verbindung zwischen der Gruppe und Terrorismus sowie Sicherheitsbedrohung herstellt.",5
78,NO_CRIME_FRAME,"Der Absatz beschreibt eine Gruppe im Kontext eines Krieges und politischer Konflikte, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit oder Prävention im deutschen Inland verknüpft wird.",5
79,NO_CRIME_FRAME,"Der Absatz beschreibt ein Verkehrsunfall und die Ermittlungen gegen den 55-Jährigen Fahrer, ohne dass die [Gruppe 1] in irgendeiner Weise mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft wird, sondern lediglich in einem separaten, unabhängigen Ereignis erwähnt wird.",5
80,NO_CRIME_FRAME,"Der Absatz beschreibt eine politische und humanitäre Situation in Afghanistan ohne explizite Verknüpfung der [Gruppe 1] mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Kontext.",5
81,CRIME_FRAME_NEG,"Die [Gruppe 1] werden explizit mit Kriminalität verknüpft, da führende Republikaner behaupten, dass sie unter der hohen Kriminalität zu leiden haben, was eine negative Darstellung der Gruppe als von Kriminalität betroffen oder mit ihr in Verbindung stehend impliziert.",4
82,NO_CRIME_FRAME,"Der Absatz beschreibt einen Mordfall, bei dem ein [Gruppe 1] Opfer ist und ein [Andere Gruppe] als Täter verurteilt wurde, ohne dass die [Gruppe 1] selbst mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft wird.",5
83,CRIME_FRAME_NEG,"Der Absatz beschreibt ein Gruppenmitglied, das explizit mit schweren Straftaten wie Mord, versuchtem Mord und gefährlicher Körperverletzung in Verbindung gebracht wird, was eindeutig ein negativer Kriminalitätsrahmen darstellt.",5
84,NO_CRIME_FRAME,"Der Absatz beschreibt eine Ermittlungskommission und ihre Ergebnisse bezüglich der UAWC, ohne jedoch die [Gruppe 1] direkt mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht oder Prävention in Verbindung zu bringen.",5
85,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Terrorismus und Gewaltlegitimation verknüpft, da bei zwei der Anschläge die Täter israelische [Gruppe 1] und Unterstützer des Islamischen Staats gewesen seien und die Hamas den Anschlag als ""heroische Tat"" bezeichnet hat.",5
86,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen Russland und der Ukraine, ohne dass die [Gruppe 1] in einem deutschen Kontext mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention verknüpft wird.",5
87,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit einer Verschlechterung der Sicherheitslage in Mali und einer möglichen Unterstützung durch sie assoziiert, wenn die Mission beendet wird, was eine negative Darstellung im Kontext von Sicherheit und Stabilität darstellt.",4
88,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen Staaten und thematisiert die Rolle von Literatur und Kultur in der Überwindung von Hass und Schmerz, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Kontext zu verknüpfen.",5
90,NO_CRIME_FRAME,"Der Absatz beschreibt Maßnahmen zur Integration und Ausbildung von [Gruppe 1] ohne jeden Bezug zu Kriminalität, Sicherheit oder Prävention.",5
91,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit illegaler Einwanderung und der Überwindung von Grenzen in Verbindung gebracht, was als Sicherheitsbedrohung dargestellt wird.",5
92,CRIME_FRAME_NEG,"Der Absatz verknüpft ein Mitglied der [Gruppe 1] namens Atmoun explizit mit mutmaßlichen Korruptionsdelikten und Geldflüssen, was als CRIME_FRAME_NEG eingestuft wird, da die Gruppe mit Verdacht und Ermittlungen in Verbindung gebracht wird.",5
93,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskontext und geopolitische Konflikte zwischen Staaten, ohne einen expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im Kontext von Minderheiten in Deutschland herzustellen.",5
94,NO_CRIME_FRAME,"Der Absatz beschreibt geopolitische Konflikte und nukleare Bedrohungen im Kontext des Nahen Ostens, ohne eine explizite Verknüpfung der [Gruppe 1] mit Kriminalität, Sicherheit oder Prävention in Deutschland herzustellen.",5
95,CRIME_FRAME_NEG,"Die Gruppe wird von einer öffentlichen Person, dem ukrainischen Botschafter, explizit als Sicherheitsrisiko für Deutschland bezeichnet, was eine negative Darstellung im Kontext von Sicherheit und möglicher Bedrohung darstellt.",5
96,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen Staaten und geopolitische Spannungen, ohne einen expliziten Bezug zur inneren Sicherheit Deutschlands oder einer Verknüpfung der [Gruppe 1] mit Kriminalität, Sicherheit oder Prävention im deutschen Kontext herzustellen.",5
97,CRIME_FRAME_NEG,"Die Gruppe wird explizit mit Verstößen gegen das Aufenthaltsgesetz und geringfügigen Drogendelikten in Verbindung gebracht, was als Kriminalitätsrahmen interpretiert werden kann.",4
98,NO_CRIME_FRAME,"Die [Gruppe 1] wird in diesem Absatz als Opfer von Menschenhändlern und dubiosen Gestalten dargestellt, ohne dass die Gruppe selbst mit Kriminalität, Sicherheitsbedrohung oder Prävention verknüpft wird.",5
99,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit einem fremdenfeindlichen Brandanschlag in Verbindung gebracht, da der Innenminister von einem solchen Anschlag ausgeht und die Tat in einem Kontext erwähnt wird, in dem die Unterbringung von [Gruppe 1] thematisiert wird.",4
100,NO_CRIME_FRAME,"Der Absatz beschreibt eine politische Auseinandersetzung und einen Kriegsbericht aus dem Kontext der Ukraine, ohne dass die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland verknüpft wird.",5
101,NO_CRIME_FRAME,"Der Absatz beschreibt die Erfahrungen eines Individuums, das vor den Taliban fliehen muss, und erwähnt die Gruppe [Gruppe 1] im Kontext einer Flüchtlingskrise, ohne sie jedoch mit Kriminalität, Sicherheitsbedrohung oder Prävention in Deutschland zu verknüpfen.",5
102,NO_CRIME_FRAME,"Der Absatz beschreibt einen Kriegskonflikt zwischen der türkischen Regierung und der PKK sowie Angriffe auf Stellungen in Syrien, ohne einen expliziten Bezug zu Kriminalität, Sicherheit oder Prävention im deutschen Kontext herzustellen.",5
103,NO_CRIME_FRAME,"Der Absatz beschreibt einen geopolitischen Konflikt und politische Rhetorik im Kontext von Wahlen und militärischen Aktionen, ohne die Gruppe explizit mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Inland zu verknüpfen.",5
104,CRIME_FRAME_NEG,"Die [Gruppe 1] wird explizit als Täter in einer handgreiflichen Auseinandersetzung dargestellt, bei der sie mit Stühlen auf andere losgingen und die Polizei wegen des Verdachts des Landfriedensbruchs und schwerer Körperverletzung ermittelt.",5
105,CRIME_FRAME_NEG,"Die Gruppe wird implizit mit Kriminalität verknüpft, indem erwähnt wird, dass viele ""jugendlichen und unbegleiteten [Gruppe 1]"" mangels Optionen in die Kleinkriminalität abdriften.",4
106,CRIME_FRAME_NEG,"Der Absatz beschreibt einen 21-Jährigen, der eine verbotene Waffe bei sich hatte und deshalb eine Strafanzeige wegen Verstoßes gegen das Waffengesetz erhalten hat, wobei der Täter als bulgarischer Staatsbürger und damit als Mitglied einer Gruppe dargestellt wird, die mit Kriminalität in Verbindung gebracht wird.",5
107,NO_CRIME_FRAME,"Der Absatz beschreibt einen Konflikt zwischen der PKK und dem türkischen Staat sowie den Iran, ohne die [Gruppe 1] direkt mit Kriminalität, Sicherheit, Terrorismus, Gewaltlegitimation, Verdacht, Ermittlungen oder Prävention im deutschen Kontext zu verknüpfen.",5
108,NO_CRIME_FRAME,"Die Festnahmen und Vorwürfe gegen die [Andere Gruppe] und nicht gegen die [Gruppe 1] erfolgen, wodurch keine explizite Verknüpfung zwischen der [Gruppe 1] und Kriminalität oder Sicherheitsbedrohung hergestellt wird.",5
