group,pub,label,text_block
RUS,MAZ,SECURITY_NEGATIVE,"Vorwürfe wegen Geldwäsche in Millionenhöhe

Nach Angaben der Ermittler wird der [Gruppe 1] verdächtigt, eingefrorene Gelder ausgegeben zu haben, um damit die Bewachung seiner Immobilien in Oberbayern zu bezahlen. Es bestehe daher der Anfangsverdacht eines Verstoßes gegen das Außenwirtschaftsgesetz, so die Behörde. Gegen vier weitere Beschuldigte wird wegen Beihilfe ermittelt. Die Generalstaatsanwaltschaft in Frankfurt und das Bundeskriminalamt (BKA) ermitteln zudem wegen Geldwäsche. Nach Angaben der Behörden soll der tatverdächtige [Gruppe 1] zwischen 2017 und 2022 mehrere Transaktionen von Geldern veranlasst haben, um deren Herkunft zu verschleiern. Die Ermittler halten es für möglich, dass das Geld aus Straftaten stammt, vor allem Steuerhinterziehung. Das Volumen bewegt sich nach bisherigen Erkenntnissen im mehrstelligen Millionenbereich. Usmanow gilt als enger Unterstützer des russischen Präsidenten Wladimir Putin und dessen Ukraine-Politik. Die Behörden werfen Usmanow vor, er habe als Strohmann für Putin gedient und dessen geschäftliche Probleme gelöst. Vor der Villa des Oligarchen in Rottach-Egern am Tegernsee hatten nach dem russischen Einmarsch in der Ukraine immer wieder Menschen demonstriert.

"
FRA,WAZ,SECURITY_NEGATIVE,"Efstratios Rigos, Herne

[...] Bisher [haben] scheinbar nur die [Gruppe 1] genügend Grips bewiesen und dort die Automaten mit Farbpatronen nachgerüstet, um die Beute für die Täter unbrauchbar zu machen. Bei uns in Deutschland passiert immer wieder das Gleiche: Jahrelanges Jammern, Heulen, Zetern, Schwadronieren und Lamentieren über Maßnahmen, als Ergebnis daraus: nichts! Beim Zaudern sind wir Weltmeister und beim Ergreifen von folgerichtigen Maßnahmen bleibt Deutschland, wie so oft, eine Nullnummer. Herr Reul bilden Sie ruhig neue Arbeitskreise und betreiben Sie weiterhin Studien, allerdings bleiben die Täter in der Zeit auch nicht untätig und schädigen weiterhin die Banken und obendrein gefährden sie mit ihren Sprengungen auch die Bürger und ihr Eigentum. Axel Rosenbusch, DU

Olympia-Bewerbung"
UKR,OSZ,NOT_SECURITY_CRIME,"Mit dem von der Behörde genehmigten Standort ist Yaremchyshyna unzufrieden. Ihr Anwalt hat Widerspruch gegen die Entscheidung des Landkreises als Versammlungsbehörde eingelegt. Pressesprecherin Anke Radlof verweist auf das laufende Verfahren und dass sie deswegen keinerlei Aussage machen kann, warum ein Protest schräg gegenüber der Bühne nicht möglich gewesen sei.

Vielleicht sollen die Protestlerinnen vor möglichen Angriffen geschützt werden. Denn "" Scheiß-[Gruppe 1]""  wird ihnen auch diesmal zugerufen, als die Frauen mit ihren Schildern reglos dastehen. Später wird eine der Frauen neben Mariana an der Hand verletzt, als ein betrunkener Mann auf sie zustürmt und ihr das Plakat entreißen will, das sie festhält. Die ganze Szenerie aus aggressiven Menschen, Beschimpfungen, Hass und Wut erinnert die [Gruppe 1] an eine ganz andere Mahnwache vor einem Vion-Schlachthof mit Tausenden Schweinen, die aus Sicht der Tierrechtlerin unter unwürdigen Bedingungen leben mussten. Während ihrer Aktion habe ein Mitarbeiter der Anlage von einem lebenden Schwein den Penis abgeschnitten und auf sie geworfen. "" Genau dieses Gefühl des Ekels vor ihrem Zynismus und der Gewalt kam in Lubmin wieder hoch."" 

Die [Gruppe 1] kam 2020 nach Deutschland, heiratete einen Greifswalder, den sie früher auf einer Reise kennengelernt hatte. Sie spricht fließend Deutsch, arbeitet als Pressereferentin für den Nordischen Klang. Für Menschen, die billiges Gas aus Russland fordern, hat sie kein Verständnis. "" Der Preis dafür ist die Abhängigkeit von einem Terrorstaat"" , sagt Mariana Yaremchyshyna. Wer dieses Gas nutzen wolle, mache sich schuldig. Schuldig am Krieg gegen die Ukraine und den Tausenden Menschen, die dort bereits getötet wurden."
JUDE,TA,NOT_SECURITY_CRIME,"Helene Freudenberger starb im Juli 1933 im Alter von 67 Jahren in Bad Kissingen. Was sie zu ihrem Aufenthalt dort veranlasste, ist unklar. "" Vielleicht war sie zur Kur oder hat jemanden besucht"" , vermutet Kaps und ergänzt: "" Auch die Todesursache ist nicht bekannt.""  Ihr Leichnam wurde auf dem jüdischen Friedhof in Arnstadt beigesetzt. Der Grabstein ist bis heute erhalten. Der nun verwitwete Maier wohnte noch bis 1937 in der Krappgartenstraße, bevor er in die Marlittstraße 10a umzog.

"" Im Zuge der Reichspogromnacht am 9. November 1938 wurden die Arnstädter [Gruppe 1] verhaftet und im Keller des Rathauses festgesetzt"" , erklärt Kaps. "" Anschließend wurden sie nach und nach ins Konzentrationslager (KZ) Buchenwald gebracht, wofür in Maiers Fall allerdings kein Quellennachweis vorliegt, da die Zugangslisten teilweise lückenhaft sind.""   Kaps geht aber davon aus, dass auch Maier nach Buchenwald kam, "" denn mit Sicherheit haben die Nationalsozialisten keinen [Gruppe 1] verschont.""

Ab 1939 erklärte die Gestapo Häuser aus jüdischem Besitz zu sogenannten Ghettohäusern und wies die zuvor aus ihren Wohnungen vertriebenen [Gruppe 1] dort ein -  so auch Maier Freudenberger. Er wurde 1940 vom KZ Buchenwald ins Ghettohaus in der Arnstädter Karolinenstraße 2 gebracht."
ESP,TA,NOT_SECURITY_CRIME,"

Thomas [Gruppe 1]

Engerda/Großkochberg Die Liste der Jagdunfälle ist lang -  und sie wird jede Woche länger. Mal wird ein Pferd mit einem Wildschwein verwechselt, mal ein Kind verletzt, das in einer Gartenanlage spielt, mal ein anderer Jäger getötet, so wie 2018 bei Birkigt. Auch nach dem jüngsten Vorfall , in dessen Folge ein 50-jähriger Jäger aus Engerda starb, gibt es wieder eine Diskussion um die Sicherheit bei Jagden, speziell bei Erntejagden."
RUS,BADZ,NOT_SECURITY_CRIME,"Mehrere Raketen schlugen in der Kiewer Stadtmitte ein. Sie beschädigten das Gebäude der Philharmonie und das Museum für den Nationaldichter Tarass Schewtschenko. Ein Sprengkopf explodierte am zentralen Wolodymyr-Abhang unmittelbar unter der Glas-Brücke, einer gut 200 Meter langen Fußgänger- und Fahrradüberführung - was bei Kiewer Einwohnern so etwas wie Galgenhumor hervorrief. ""Wenn die [Gruppe 1] wirklich darauf gezielt haben"", kommentiert der Arzt Sergi, ""halten sie die Glas-Brücke wohl für ein genauso wichtiges Symbol wie ihre Krim-Brücke."" Nach Ansicht von Oleksi Melnyk, Sicherheitsexperte des ukrainischen Rasumkow-Zentrums, hätten es die [Gruppe 1] in Kiew mehr auf den morgendlichen Berufsverkehr als auf militärische Ziele abgesehen.

Am Montag zwischen 6.20 und 11.15 Uhr Ortszeit schlugen in Kiew und 15 anderen Städten der Ukraine russische Raketen ein. Laut dem ukrainischen Zivilschutz töteten sie mindestens elf Menschen, knapp 90 wurden verletzt. Der ukrainische Premierminister Denys Schmyhal schrieb auf Facebook, elf wichtige Infrastrukturobjekte in neun Regionen seien beschädigt worden. Die [Gruppe 1] hätten auch Kinderspielplätze und Schulen unter Feuer genommen. In manchen Regionen fiel der Strom aus. 

""Ein schwerer Morgen"", erklärte der ukrainische Präsident Wolodymyr Selenskyj in einer Videoansprache. ""Wir haben es mit Terroristen zu tun."" Der russische Präsident Wladimir Putin dagegen sprach am Mittag bei einer außerordentlichen Sitzung des russischen Sicherheitsrats von einem ""massierten Schlag mit weitreichenden Präzisionswaffen gegen Objekte der Energie, der Telekommunikation und der militärischen Führung."" Die Raketen trafen aber auch Wohnviertel. Der Arzt Sergi sagte, in seinem Stadtteil habe es zwei Explosionen gegeben. "
IRN,KN,NOT_SECURITY_CRIME,"Eine Sprecherin der UN-Flüchtlingsagentur UNHCR kündigte an, man werde den Vorgang untersuchen. Ankara und internationale Hilfsorganisationen werfen Griechenland seit Langem vor, dass Küstenwache und Grenzpolizisten [Andere Gruppe] gewaltsam zurückdrängen. Diese sogenannten Pushbacks sind nach der europäischen Menschenrechtskonvention verboten.

Nach Angaben der Hilfsorganisation Aegean Boat Report gab es 2021 in der Ägäis 629 solche Pushbacks mit rund 16 000 Betroffenen. Die Athener Regierung bestreitet die Vorwürfe. Sie bezeichnet ihre Migrationspolitik als ""hart, aber gerecht"". Die Berichte über Pushbacks und Misshandlungen sind allerdings längst zu zahlreich und zu glaubwürdig, als dass man sie als Erfindungen abtun könnte. Viele Fälle sind gut dokumentiert. Wie das Schicksal der iranischen [Andere Gruppe] Parvin A. Sie beschuldigt griechische Grenzbeamten, sie sechsmal in die Türkei zurückgeschickt zu haben. ""Ich wurde mit Handschellen gefesselt, man hat auf mich geschossen, mich mit Tränengas malträtiert, gefoltert und fast umgebracht"", sagte die Frau in einem Video, das vom Europäischen Zentrum für Verfassungs- und Menschenrechte in Berlin veröffentlicht wurde. Einen Asylantrag durfte die [Gruppe 1] nicht stellen. Parvin A., die ihre Darstellung mit Videos und Standortdaten ihres Handys untermauern kann, hat jetzt eine Beschwerde vor dem UN-Menschenrechtsausschuss eingereicht.

Die griechische Regierung kritisiert, dass es sieben Jahre nach der Flüchtlingskrise immer noch keine Reform der EU-Asylpolitik gibt. Erstankunftsländer wie Griechenland müssen die Schutzsuchenden aufnehmen und ihre Asylanträge bearbeiten, obwohl die große Mehrheit in andere Staaten will, vor allem nach Deutschland. Auch die 2016 zwischen der EU und der Türkei geschlossene Flüchtlingsvereinbarung bewährt sich aus griechischer Sicht nicht. Darin hatte sich die Türkei verpflichtet, alle irregulären [Andere Gruppe] zurückzunehmen, die über ihr Gebiet Griechenland erreichen. Tatsächlich aber hat die Türkei seit März 2020 keinen einzigen [Andere Gruppe] zurückgenommen."
ASYL,OSZ,NOT_SECURITY_CRIME,"Frank-Walter SteinmeierBundespräsident

25.08.2022, Mecklenburg-Vorpommern, Rostock: Bundespräsident Frank-Walter Steinmeier spricht bei der Gedenkveranstaltung zum 30. Jahrestag der rassistischen Ausschreitungen im Stadtteil Lichtenhagen vor dem Sonnenblumenhaus mit Zeitzeugen. Vom 22. bis zum 26.08.1992 hatten Anwohner und Neonazis unter dem Applaus Tausender Schaulustiger die Zentrale Aufnahmestelle für [Gruppe 1] und ein Wohnheim für vietnamesische Arbeiter angegriffen und teils in Brand gesetzt. Foto: Jens Büttner/dpa +++ dpa-Bildfunk +++

"
REFUG,WAZ,NOT_SECURITY_CRIME,"Am Mittwoch waren Beamte in die Nordstadt gerufen worden, weil dort ein Obdachloser randalierte. Ein Polizist soll von dem Mann verletzt worden sein, woraufhin ein Kollege die umstrittene Elektroschockpistole abfeuerte. Der Angreifer brach zusammen und starb später im Krankenhaus. Die Obduktion hat laut Staatsanwaltschaft ergeben, dass "" eine Kausalität zwischen dem Einsatz des Elektrodistanzimpulsgerätes und dem Todeseintritt nicht sicher festgestellt""  werden konnte. Der Verstorbene war demnach schwer herzkrank und offenbar erheblich alkoholisiert. Aus Neutralitätsgründen hat die Kreispolizeibehörde Recklinghausen die Ermittlungen übernommen.

Die Dortmunder Polizei steht unter Beobachtung, seit Anfang August ein [Gruppe 1] (16) aus Afrika durch Kugeln aus einer Polizei-Maschinenpistole getötet worden war. Auch damals kam ein Taser zum Einsatz, blieb aber ohne Wirkung. Die Staatsanwaltschaft ermittelt gegen fünf Beamte und hatte bereits Zweifel an der Angemessenheit des polizeilichen Vorgehens geäußert.

Laut Innenministerium hat die Polizei in diesem Jahr 250-mal zum Taser gegriffen. In 50 Fällen sei ein Schuss abgegeben worden -  bislang ohne tödliche Folgen. Der Taser als neue Waffe der Polizei ist in der schwarz-grünen Landesregierung hochumstritten und soll auf Druck der Grünen bis 2024 in einem Pilotversuch wissenschaftlich ausgewertet werden. Rhein-Ruhr"
MIGR,LVZ,NOT_SECURITY_CRIME,"

Auf der türkischen Seite der EU-Grenze mit Griechenland sind die Leichen von zwölf erfrorenen mutmaßlichen [Gruppe 1] entdeckt worden. Der türkische Innenminister Süleyman Soylu erklärte bei Twitter, die zwölf Personen hätten zu einer Gruppe von 22 [Gruppe 1] gehört, die von griechischen Grenzschützern wieder zurück über die Grenze gedrängt worden seien. Soylu warf griechischen Einheiten Grausamkeit und der EU Milde gegenüber Griechenland vor.

"
REFUG,KN,NOT_SECURITY_CRIME,"Bereits im Frühjahr hatte die Gewerkschaft der Polizei in einem offenen Brief Missstände in der  Schule angeprangert, in der der Nachwuchs für den Justizvollzugsdienst im Land ausgebildet wird. Geändert hat der Brief offenbar nicht viel. Der Bund der Strafvollzugsbediensteten (BSBD) erweitert die Vorwürfe noch, berichtet von ""verzweifelten Nachwuchskräften. Vorsitzender Michael Hinrichsen spricht von ""unfassbaren Berichten der Kollegen"", von ""einer dramatischen Zuspitzung der Zustände.""

Damit meint Hinrichsen nicht nur die baulichen Mängel, sondern auch sich häufende Konflikte mit [Gruppe 1], die in direkter Nachbarschaft untergebracht sind. Laut einer Auszubildenden seien vor der Unterkunft parkende Autos der Schüler bespuckt und mit Steinen beworfen worden. In einem Fall sei auch ein Reifen zerstochen worden. Betteln nach Geld und Zigaretten sei an der Tagesordnung, Lärm bis in die späte Nacht raube ihnen den Schlaf.

Die Schule ist seit 2019 in zwei unsanierten Kasernengebäuden, Baujahr 1958, auf dem Gelände der Landesunterkunft untergebracht. Rund 60 Justizvollzugsschüler wohnen in der Woche dort, sie kommen aus ganz Schleswig-Holstein. Die Schilderungen zeichnen ein verheerendes Bild. In den Räumen bilde sich Schimmel, es tropfe auch schon mal durchs Dach. Die Fachgewerkschaft für den Strafvollzug kommt zu dem Schluss: Unter den gegenwärtigen Rahmenbedingungen könne die Ausbildung nicht fortgesetzt werden."
ASYL,LVZ,NOT_SECURITY_CRIME,"In dieser Woche wird mit mehreren Veranstaltungen, Diskussionsforen und Demons-trationen in Rostock an die rassistischen Ausschreitungen im Stadtteil Lichtenhagen vor 30 Jahren gedacht. So wird unter anderem am Mittwoch Bundespräsident Frank-Walter Steinmeier zu Gast sein und bei einer Gedenkstunde am Abend reden.

Der ausländerfeindliche Exzess begann am 22. August, einem Samstag. Gegen 20 Uhr versammelten sich damals Hunderte Menschen vor einem Plattenbau mit Sonnenblumenmosaik, in dem die Zentrale Aufnahmestelle für [Gruppe 1] untergebracht ist. Steine werden geworfen, später auch Brandsätze, rassistische Parolen gebrüllt. Das Ziel sind Menschen aus Osteuropa, die in der Hoffnung auf ein Asylverfahren vor dem Gebäude campieren. Und Vertragsarbeiter aus Vietnam, die im Wohnblock ein Zuhause haben. Schaulustige feuern die Gewalttäter an. Als Teile des Hauses in Flammen stehen, entkommen Dutzende Bewohner nur mit Glück dem Inferno. Die Polizei scheint machtlos. Vier Tage lang tobt die Gewalt.

Bis heute steht "" Rostock-Lichtenhagen""  für eine der schlimmsten rechtsextremistischen Attacken nach der deutschen Einheit. Die Stadt versucht klarzukommen mit dem Teil ihrer Geschichte, den Kritiker als Staatsversagen brandmarken, gar als erstes Pogrom auf deutschem Boden seit 1945. "" Lichtenhagen gehört zur Stadtgeschichte Rostocks dazu"" , sagt der amtierende Oberbürgermeister Steffen Bockhahn (Linke). Der Ortsbeiratsvorsitzende von Lichtenhagen Ralf Mucha will die Erinnerung ebenfalls wachhalten, auch wenn es wehtut. Es gehe um Mahnen und Gedenken, sagt der SPD-Politiker. Mucha war damals Zeitzeuge und kennt die schmerzhaften Debatten danach. Viele Bewohner im Viertel wollen am liebsten gar nicht mehr darüber reden. Doch genau das sei der falsche Weg, meint Mucha. Mit dem Erbe des Sonnenblumenhauses müsse man sich weiter auseinandersetzen. Er ist dennoch überzeugt: "" Ein Lichtenhagen wie 1992 wird es nicht mehr geben.""  Leitartikel"
FRA,Berliner Zeitung,NOT_SECURITY_CRIME,"Die Polizeiwache auf dem Alexanderplatz will keine Auskunft geben, verweisen auf die Pressestelle. Alles rund um das Fahrrad ist zwar eines der „Jahresschwerpunktthemen“ der Berliner Polizei, wie es im Konzept „Sicherheit im Wohnumfeld“ heißt, jedoch gelingt es den Behörden nicht, die Zahl der Fahrraddiebstähle zu senken. Schwerpunkteinsätze an neuralgischen Orten sollen die Lage ändern und Expertentreffen zu Ideen für mehr Sicherheit führen.

Der Ortsteil Alt-Treptow liegt zwischen Neukölln, Kreuzberg, Ostkreuz und dem Plänterwald, etwas abseits der S- und U-Bahnhöfen. Vielleicht wird deshalb hier besonders viel Rad gefahren. Der Kiez ist ein weiteres Eldorado für Fahrraddiebe. Elena, [Gruppe 1], lebt seit mehr als zwei Jahren in Berlin. Sie hat von der Statistik gehört, sagt sie. „Es war mir vorher nicht bewusst und mir wurde mein Rad auch noch nie gestohlen“, sagt sie. Elena würde ihr Fortbewegungsmittel über Nacht nie draußen stehen lassen, sagt sie. Zusätzlich will sie sich jetzt informieren, ob ein großes Panzerkabelschloss oder eine Versicherung gegen den Diebeswahn in der Fahrradstadt-Berlin helfen würden.

Ein seltenes Happy Ending"
REFUG,KN,SECURITY_NEGATIVE,"

Der Bund will die Kontrollen an der Grenze zu Österreich über den November hinaus verlängern und zugleich zusätzliche Immobilien für die Unterbringung neuer [Gruppe 1] bereitstellen. Das kündigte Innenministerin Nancy Faeser (SPD) am Dienstag nach einem sogenannten Flüchtlingsgipfel mit Vertretern der Länder sowie der kommunalen Spitzenverbände an.

Dabei stellte sie gemeinsam mit dem Vorsitzenden der Innenministerkonferenz, Bayerns Innenminister Joachim Herrmann (CSU), klar, dass man Menschen aus der Ukra­i­ne weiterhin Schutz bieten werde, beim Zuzug von [Andere Gruppe] aus anderen Ländern, die über die Balkanroute oder das Mittelmeer nach Deutschland kämen, jedoch Grenzen ziehen müsse. Herrmann forderte zudem massive finanzielle Hilfen des Bundes. Darüber soll bei einem Bund-Länder-Treffen im November entschieden werden."
