group,pub,label,text_block
ESP,BADZ,NOT_SECURITY_CRIME,"

Zermatt (dpa). Am Matterhorn hat ein [Gruppe 1] nach einem Absturz aus 4200 Metern stundenlang und über Nacht an einem Seil gehangen. Die Windverhältnisse und Nebel hätten eine Rettung am Samstagabend zunächst nicht zugelassen, teilte die Rettungsorganisation Air Zermatt am Mittwoch mit. Der 51-Jährige, der nur dünn bekleidet und mit Lauf- statt Bergschuhen unterwegs war, sich aber wenigstens angeseilt hatte, sei in Panik gewesen. Spezialisten und seine Mutter hätten über Telefon beruhigend auf ihn eingeredet.

Schließlich sei am frühen Sonntagmorgen erneut ein Hubschrauber aufgestiegen. Ein Rettungsspezialist habe sich mit dem Seil zu dem [Gruppe 1] hinabgelassen und ihn an seine Winde gebunden. Dies sei eine höchst gefährliche Aktion, schrieb die Air Zermatt. Über das am Berg befestigte Seil des Bergsteigers sei der Hubschrauber bei einer solchen Aktion für einige Zeit direkt mit dem Berg verbunden und könnte in einer Gefahrensituation nicht sofort abdrehen. Der Rettungsspezialist muss deshalb zügig das Seil des Bergsteigers kappen. Die Rettung ging gut."
REFUG,WAZ,NOT_SECURITY_CRIME,"Die Landesregierung hatte am Mittwoch Vertreter der Kommunalen Spitzenverbände zu einer Lagebesprechung eingeladen, um sich auf größere Flüchtlingsbewegungen einzustellen. Noch ist unklar, wie viele [Andere Gruppe] überhaupt in Deutschland Schutz suchen werden. Experten gehen bislang davon aus, dass ein Großteil eher in osteuropäischen Nachbarländern bleiben will. Das könnte sich aber je nach Eskalation des russischen Angriffskriegs rasch ändern. "" Jetzt geht es darum, den Menschen, die vor den grausamen Bombardierungen Putins fliehen mussten, hier so viel Halt und Sicherheit wie möglich zu gewähren"" , sagte Stamp. Bei der Verteilung von [Gruppe 1] innerhalb von NRW soll darauf geachtet werden, dass verwandtschaftliche Beziehungen oder der Anschluss an eine in einigen Städten bereits vorhandene ukrainische "" Community""  berücksichtigt werden, um die Integration zu erleichtern.

Da wegen der ukrainischen Rekrutierung von Männern im wehrfähigen Alter vorwiegend mit [Gruppe 1] Frauen und Kindern gerechnet wird, will Stamp mit den Kommunen entsprechende Hilfen organisieren: "" Mir ist besonders wichtig, dass wir uns besonders um Kinder und Familien kümmern, damit sie nach den traumatischen Erlebnissen der letzten Tage ein bisschen Geborgenheit erhalten.""

Anders als während der Flüchtlingskrise 2015 im Zusammenhang mit dem Bürgerkrieg in Syrien dürften nicht alle Schutzsuchenden über das Asylsystem einreisen. Mit den vorhandenen Visa-Regelungen können [Andere Gruppe] sich schon jetzt legal 90 Tage in der EU aufhalten und den Aufenthalt unkompliziert bis zu 180 Tage verlängern. Viele kommen so privat unter und sind meist unsicher, ob sie dauerhaft bleiben wollen oder irgendwann in ihre Heimat zurückkehren können."
HUN,TA,SECURITY_NEGATIVE,"Weimarer Land Ein von Fahndern der Kripo Jena gesuchter Mann aus dem Weimarer Land wurde am 24. Mai in [Gruppe 1] festgenommen, wie die Jenaer Polizei jetzt mitteilte. Gegen den Mann lagen vier Haftbefehle aus diversen Bundesländern vor, darunter ein Europäischer Haftbefehl wegen Betrugsdelikten. Wegen des letzten bekannten Wohnsitzes des 34-Jährigen im Weimarer Land konzentrierten die Fahnder Ende 2021 die Ermittlungen und setzten sich auf die Spur des Mannes.

Puzzleteile fanden sich in Hessen, Niedersachsen, Bayern, Sachsen und Thüringen, doch musste der Fahndungsraum erweitert werden, da auch Hinweise aus dem europäischen Ausland auftauchten. So wurde mit Behörden in Österreich, [Gruppe 1] und Rumänien kooperiert. Im April 2022 wurde der Gesuchte in Bacau/Rumänien festgenommen. Die dortigen Behörden setzten den Haftbefehl gegen Auflagen außer Vollzug. Der Täter wartete nicht auf seine Auslieferung nach Deutschland, sondern reiste Mitte Mai nach [Gruppe 1]. Dann aber machte sich die enge Vernetzung bezahlt: Ungarische Behörden konnten den Gesuchten am 24. Mai erneut festnehmen. Er wartet nun in einer Haftanstalt auf seine Auslieferung nach Deutschland. red

"
ITA,Epoch Times,NOT_SECURITY_CRIME,"Italien stellt der Nato rund 3.400 zusätzliche Soldaten für die Sicherung im Osten zur Verfügung. Das sagte Ministerpräsident Mario Draghi am Freitag in einer Rede vor dem Parlament in [Andere Gruppe]. Etwa 1.400 Männer und Frauen könne das Mittelmeerland in Heer, Marine und Luftwaffe aufbieten, dazu kämen 2.000 weitere Personen des Militärs.

Die Soldaten würden vom Oberbefehlshaber der Nato koordiniert, hätten aber keine Befugnis, die Grenzen der Staaten des Militärverbundes zu überschreiten. Aktuell seien rund 240 [Gruppe 1] an Nato-Stützpunkten in Lettland und Rumänien im Einsatz.

Verstärkung für Nato-Truppe in Estland angekommen"
RUS,LVZ,NOT_SECURITY_CRIME,"Der ukrainische Generalstab berichtete von russischen Attacken an vielen Stellen der Front. Die ukrainischen Truppen durchkämmen die zurückeroberten Gebiete im Osten nach Kollaborateuren der russischen Besatzungsmacht. Außerdem würden Minen geräumt, teilte der ukrainische Generalstab in seinem Lagebericht mit.

Er machte keine weiteren Angaben zum Vordringen der [Andere Gruppe], die die russischen Truppen im Gebiet Charkiw weitgehend in die Flucht geschlagen haben. Die [Gruppe 1] ließen dabei viele Waffen und schweres Material zurück. Der ukrai­nische Vorstoß gilt als Etappensieg bei der Rückeroberung besetzter Gebiete, der über die Ukraine hinaus Hoffnungen auf eine militärische Wende nährt.

Mithilfe westlicher Waffen will Kiew die Regionen Luhansk und Donezk vollständig zurückerobern. Russland hatte die vollständige Einnahme von Luhansk im Juli gemeldet. In Donezk halten die [Andere Gruppe] eigenen Angaben zufolge derzeit rund 40 Prozent des Gebiets."
FRA,FAZ,NOT_SECURITY_CRIME,"Und für mögliche neue Aufträge infolge des Kriegs um die Ukraine sieht er das Unternehmen gut aufgestellt: „Die Kapazitäten bestehen, und wenn es erforderlich sein sollte, können wir kurzfristig zusätzliche Kapazitäten schaffen, etwa indem wir Umschichtungen in unserer Produktion vornehmen oder noch stärker mit Industriepartnern zusammenarbeiten. Für diese Maßnahmen gibt es bereits ausgearbeitete Pläne“, sagt der 49-Jährige auf Anfrage. Unter seiner Führung konzentrierte sich der Hersteller auf staatliche Kunden, der Sportschützenbereich wurde heruntergefahren. Er übernahm den Kurs seines Vorgängers, der 2016 die Grüne-Länder-Strategie ausrief. Seitdem werden nur Waffen in demokratische und nichtkorrupte NATO-Staaten oder NATO-nahe Staaten verkauft. Die Weltlage der vergangenen Jahre kam ihm entgegen. Infolge der terroristischen Bedrohung schafften sich auch die Polizeien der Länder Sturmgewehre an.

Rückendeckung für seinen Kurs bekommt Koch, der mit der Familie des gleichnamigen Unternehmensgründers nichts zu tun hat, vom seit Herbst 2020 agierenden neuen Großaktionär, der Luxemburger Finanzholding CDE. Sie hält rund 60 Prozent der Anteile. Hinter dem Konstrukt steckt das private Vermögen von Nicolas Walewski und dessen Familie. Der [Gruppe 1] hatte sich in der Vergangenheit eine Auseinandersetzung mit dem früheren Haupteigentümer An­dreas Heeschen geliefert, die zum großen Teil auch in der Öffentlichkeit ausgetragen worden ist. Walewski erklärt auf Nachfrage: „H&K hat sich in den letzten Jahren positiv entwickelt. Das Unternehmen hat den eingeschlagenen Gesundungs- und Wachstumskurs kontinuierlich fortgesetzt und seine Technologieführerschaft aufgrund laufender Investitionen noch ausbauen können. Jetzt gilt es, den eingeschlagenen Weg konsequent fortzusetzen.“

Die Unterstützung kann Koch gut gebrauchen. Denn er ist bei der Neuordnung der Finanzen noch keineswegs am Ziel. Ende September betrug die Schuldenlast immer noch etwas mehr als 240 Millionen Euro. Positiv ist hierbei zumindest, dass ein großer Teil der Darlehen von Aktionären stammt. Walewski betont zugleich, wie wichtig es sei, auch in Branchen zu investieren, die nicht bei jedem beliebt sind. „Aktuell zeigt sich einmal mehr, dass wir in Europa auch in Sachen Sicherheit eine Industrie benötigen, die technologisch führend, leistungsfähig und hohen gesellschaftlichen Standards verpflichtet ist.“"
HUN,MAZ,NOT_SECURITY_CRIME,"

KIEW/MOSKAU/BRÜSSEL (dpa). Angesichts des Angriffskriegs Russlands gegen die Ukraine verstärkt die Nato ihre Ostflanke kurzfristig mit vier weiteren multinationalen Gefechtsverbänden. Wie Generalsekretär Jens Stoltenberg am Mittwoch in Brüssel mitteilte, werden die sogenannten Battlegroups in der Slowakei, [Gruppe 1], Rumänien und Bulgarien bereits aufgebaut. Die Maßnahme sei Reaktion auf Russlands Invasion in die Ukraine.

Stoltenberg äußerte sich vor dem Sondertreffen der westlichen Allianz, zu dem an diesem Donnerstag die Staats- und Regierungschefs der 30 Nato-Mitgliedsländer in Brüssel erwartet werden."
EU,MAZ,NOT_SECURITY_CRIME,"

Ja, US-Präsident Biden hat recht: Europa und die Nato sind geeint wie lange nicht. Man kann fest davon ausgehen, dass Feldherr Putin nicht damit gerechnet hat, dass eine so einheitliche Front gegen ihn zustande kommt. Ebenso wenig wird er erwartet haben, dass der von ihm in seiner Widerstandskraft so gering geschätzte Westen in der Lage ist, in Windeseile auch bisher festgefügte Positionen zu verlassen. Daher rührt sicher auch ein Teil der Nervosität, die sich in den vergangenen Tagen in Moskau erkennen ließ. Die zuletzt so häufig zerstrittenen [Gruppe 1] haben in den ersten Tagen des Krieges gegen die Ukraine die gemeinsamen Werte wiederentdeckt: Freiheit, Demokratie, all das Grundsätzliche, was sie jenseits so mancher Differenzen miteinander verbindet und was sie in den Zeiten des Krieges gemeinsam verteidigen wollen und müssen.

Die Bedrohung von außen hat zunächst also zusammengeschweißt. Doch hält die Verbundenheit auch? So ist es geradezu begeisternd, in welcher Klarheit sich Staaten der EU bereit erklären, [Andere Gruppe] aus der Ukraine aufzunehmen. Doch ist auch allen bewusst, welche Welle hier auf Europa zukommen kann? Die Ukraine hat mehr als 40 Millionen Einwohner, also rund halb so viele wie Deutschland. Die Hilfe wird viel Kraft erfordern - und damit noch so manche Prüfung bereithalten. Gleiches gilt für die Aufrüstung in der EU. Wie viel sind die EU-Mitglieder wirklich bereit, auf Dauer dafür zu leisten? Deutschland geht bewusst an dieser Stelle voran - wohl wissend, dass das seiner Rolle in Europa entspricht. Andere werden aber folgen müssen. Weil es in der Zukunft auf keinen Fall genügen wird, sich auf Amerika zu verlassen. Und gerade weil Putin Europa bisher mit Blick auf seine mangelnden militärischen Fähigkeiten nicht ernst genommen hat."
FRA,FAZ,NOT_SECURITY_CRIME,"In Deutschland ist unter all diesen Äußerungen vor allem das neue Strategiepapier des französischen Verteidigungsministeriums mit Interesse gelesen worden. General Brauß fällt auf, dass Paris hier die Überlegung der übrigen NATO-Partner aufnimmt, dass Nu­klearwaffen auch in einem konventionellen Krieg eine abschreckende Rolle spielen müssten – etwa wenn Russland die NATO durch einen schnellen Angriff auf das Baltikum überrumpeln wolle. In dem neuen französischen Papier heißt es zum Beispiel, dass nukleare und konventionelle Kräfte einander „jederzeit beistehen“ müssten.

Noch vor fünf Jahren, sagt Brauß, wäre so eine Formulierung „keinem [Gruppe 1] über die Lippen gekommen“. Schließlich könnten solche Gedanken zu der bisher ausgeschlossenen Überlegung führen, dass zum Beispiel auch die französischen Soldaten in Rumänien durch nukleare Abschreckung geschützt werden müssen. Frankreich, sagt Brauß, habe sich damit „ein gehöriges Stück auf das strategische Denken in der NATO zubewegt“.

Auch im Bundestag gibt es ein positives Echo. Der CDU-Abgeordnete Roderich Kiesewetter, Oberst a. D. und Vorsitzender des Parlamentarischen Kontrollgremiums für die Nachrichtendienste, stellt fest, Paris rücke jetzt möglicherweise von der alten Doktrin ab, der zufolge seine Atomwaffen ausschließlich dem Schutz des eigenen Territoriums dienten. „Wenn Frankreich jetzt sagt, wir wären bereit, unseren nuklearen Schutzschirm kooperativ auf andere Staaten Europas auszuweiten, dann muss das debattiert werden“, stellt er fest. Allerdings könne und dürfe der französische Schutz den Schutz durch Amerika nicht „ersetzen“, sondern höchstens „ergänzen“. „Wir sollten alles tun, um den Eindruck zu vermeiden, dass wir auf die nukleare Teilhabe mit den [Andere Gruppe] verzichten wollen. Aber doppelt hält besser.“"
REFUG,TA,NOT_SECURITY_CRIME,"

Brüssel Die EU-Staaten haben sich darauf geeinigt, Kriegsflüchtlinge aus der Ukraine schnell und unkompliziert aufzunehmen. Dies teilte EU-Innenkommissarin Ylva Johansson am Donnerstag mit. Sie sprach von einer historischen Entscheidung. Die EU-Kommission hatte auf Bitten der EU-Staaten vorgeschlagen, für den schnellen und unbürokratischen Schutz der [Gruppe 1] aus der Ukraine erstmals eine Richtlinie für den Fall eines "" massenhaften Zustroms""  von Vertriebenen in Kraft zu setzen. Der Schutz gilt für ein Jahr und kann um zwei Jahre verlängert werden. Lange Asylverfahren sind damit nicht mehr nötig. Nach UN-Angaben haben mehr als eine Million Menschen die Ukraine verlassen, [Andere Gruppe] registrierte bislang über 600.000 [Gruppe 1]. dpa Seite 8

"
